expression,solution
10x + -2 = -11,Step 1: Subtract -2 from both sides → 10x = -9 Step 2: Divide both sides by 10 → x = -0.9
1x^2 + 5x + 2,Step 1: Simplify → 1x^2 + 5x + 2
1y + 4y + -5x + -5y,Step 1: Simplify → 1y + 4y + -5x + -5y
3x^2 + -2x + 3,Step 1: Simplify → 3x^2 + -2x + 3
5x + 18 = -24,Step 1: Subtract 18 from both sides → 5x = -42 Step 2: Divide both sides by 5 → x = -8.4
1x + -1 = 15,Step 1: Subtract -1 from both sides → 1x = 16 Step 2: Divide both sides by 1 → x = 16.0
7x + 4 = 12,Step 1: Subtract 4 from both sides → 7x = 8 Step 2: Divide both sides by 7 → x = 1.1428571428571428
3x^2 + -3x + -3,Step 1: Simplify → 3x^2 + -3x + -3
9x + -15 = 23,Step 1: Subtract -15 from both sides → 9x = 38 Step 2: Divide both sides by 9 → x = 4.222222222222222
(1x + -2)(1x + 1),Step 1: Expand → (1x + -2)(1x + 1)
1x + -9 = -46,Step 1: Subtract -9 from both sides → 1x = -37 Step 2: Divide both sides by 1 → x = -37.0
(1x + 3)(2x + -4),Step 1: Expand → (1x + 3)(2x + -4)
10x + 20 = -13,Step 1: Subtract 20 from both sides → 10x = -33 Step 2: Divide both sides by 10 → x = -3.3
1x + 13 = -36,Step 1: Subtract 13 from both sides → 1x = -49 Step 2: Divide both sides by 1 → x = -49.0
2x^2 + 2x + 2,Step 1: Simplify → 2x^2 + 2x + 2
4x + 5y + -1y + -2y,Step 1: Simplify → 4x + 5y + -1y + -2y
-5y + 5y + 5y + -2x + -5y,Step 1: Simplify → -5y + 5y + 5y + -2x + -5y
-4y + 4y + 2x + -2y,Step 1: Simplify → -4y + 4y + 2x + -2y
8x + 10 = -11,Step 1: Subtract 10 from both sides → 8x = -21 Step 2: Divide both sides by 8 → x = -2.625
3y + -1y + -3x + 2x + -3x + -4y,Step 1: Simplify → 3y + -1y + -3x + 2x + -3x + -4y
10x + -11 = 19,Step 1: Subtract -11 from both sides → 10x = 30 Step 2: Divide both sides by 10 → x = 3.0
-4y,Step 1: Simplify → -4y
-2x + 5y + -1y + -3x,Step 1: Simplify → -2x + 5y + -1y + -3x
7x + 11 = -43,Step 1: Subtract 11 from both sides → 7x = -54 Step 2: Divide both sides by 7 → x = -7.714285714285714
5x + 8 = -45,Step 1: Subtract 8 from both sides → 5x = -53 Step 2: Divide both sides by 5 → x = -10.6
6x + -5 = 0,Step 1: Subtract -5 from both sides → 6x = 5 Step 2: Divide both sides by 6 → x = 0.8333333333333334
1y + -2y + 5x,Step 1: Simplify → 1y + -2y + 5x
-1x + 1y,Step 1: Simplify → -1x + 1y
7x + -13 = -34,Step 1: Subtract -13 from both sides → 7x = -21 Step 2: Divide both sides by 7 → x = -3.0
6x + 6 = -8,Step 1: Subtract 6 from both sides → 6x = -14 Step 2: Divide both sides by 6 → x = -2.3333333333333335
-1x + 4y + 5y + -1x,Step 1: Simplify → -1x + 4y + 5y + -1x
-5x + 2x + 2y + -5x + -4x,Step 1: Simplify → -5x + 2x + 2y + -5x + -4x
-1x + -4x,Step 1: Simplify → -1x + -4x
5x + -4x + 3x + 1x,Step 1: Simplify → 5x + -4x + 3x + 1x
6x + 4 = 14,Step 1: Subtract 4 from both sides → 6x = 10 Step 2: Divide both sides by 6 → x = 1.6666666666666667
5y + 5x + 5y,Step 1: Simplify → 5y + 5x + 5y
-3y + -2x + 4x,Step 1: Simplify → -3y + -2x + 4x
3y + 5y + -3x + 5x + 1y,Step 1: Simplify → 3y + 5y + -3x + 5x + 1y
3x + 4x + -2x + -2x + 4y + -2x,Step 1: Simplify → 3x + 4x + -2x + -2x + 4y + -2x
-4y + 1x + -4x,Step 1: Simplify → -4y + 1x + -4x
-4y + -1y + 3y + -4y,Step 1: Simplify → -4y + -1y + 3y + -4y
3x + 4x + -4y,Step 1: Simplify → 3x + 4x + -4y
5x + 1x + 3x,Step 1: Simplify → 5x + 1x + 3x
3y + 1y + -3y + 2y,Step 1: Simplify → 3y + 1y + -3y + 2y
3x^2 + 1x + -9,Step 1: Simplify → 3x^2 + 1x + -9
(1x + 4)(5x + 4),Step 1: Expand → (1x + 4)(5x + 4)
1x + 3y + 4y,Step 1: Simplify → 1x + 3y + 4y
-1x + 5y,Step 1: Simplify → -1x + 5y
3x^2 + 1x + -1,Step 1: Simplify → 3x^2 + 1x + -1
10x + -15 = -47,Step 1: Subtract -15 from both sides → 10x = -32 Step 2: Divide both sides by 10 → x = -3.2
4x + -18 = -30,Step 1: Subtract -18 from both sides → 4x = -12 Step 2: Divide both sides by 4 → x = -3.0
10x + -12 = 10,Step 1: Subtract -12 from both sides → 10x = 22 Step 2: Divide both sides by 10 → x = 2.2
1x + 1y + -2x,Step 1: Simplify → 1x + 1y + -2x
1x^2 + -4x + -10,Step 1: Simplify → 1x^2 + -4x + -10
2x + 18 = 28,Step 1: Subtract 18 from both sides → 2x = 10 Step 2: Divide both sides by 2 → x = 5.0
(4x + 4)(3x + 0),Step 1: Expand → (4x + 4)(3x + 0)
2x + -2y,Step 1: Simplify → 2x + -2y
4x + 11 = -39,Step 1: Subtract 11 from both sides → 4x = -50 Step 2: Divide both sides by 4 → x = -12.5
-5y + -3x + 1y + -4x + 1x,Step 1: Simplify → -5y + -3x + 1y + -4x + 1x
-3y + -3y + 3y,Step 1: Simplify → -3y + -3y + 3y
(2x + 4)(2x + 4),Step 1: Expand → (2x + 4)(2x + 4)
1x^2 + -4x + 6,Step 1: Simplify → 1x^2 + -4x + 6
6x + 19 = -46,Step 1: Subtract 19 from both sides → 6x = -65 Step 2: Divide both sides by 6 → x = -10.833333333333334
10x + -20 = 6,Step 1: Subtract -20 from both sides → 10x = 26 Step 2: Divide both sides by 10 → x = 2.6
-5x + -3y + 5x,Step 1: Simplify → -5x + -3y + 5x
