,Tags_Will revert after reading the email,Total Time Spent on Website,Lead Profile_Potential Lead,Last Notable Activity_SMS Sent,Last Activity_SMS Sent,What is your current occupation_Working Professional,Lead Profile_Unspecified,Lead Origin_Lead Add Form,Tags_Interested in other courses,Lead Source_Reference,Last Notable Activity_Modified,Tags_Closed by Horizzon,Tags_Ringing,What is your current occupation_Unemployed,Last Activity_Olark Chat Conversation,Lead Source_Welingak Website,Lead Source_Olark Chat,Last Activity_Email Bounced,Tags_Lateral student,Last Activity_View in browser link Clicked,TotalVisits,Lead Profile_Student of SomeSchool,Tags_Not doing further education,Do Not Email_Yes,Tags_switched off,Tags_Interested in Next batch,Last Notable Activity_Unreachable,Lead Source_WeLearn,Lead Source_Direct Traffic,Lead Origin_Landing Page Submission,Specialization_E-Business,Tags_Lost to Others,Page Views Per Visit,Last Activity_Email Received,Tags_Diploma holder (Not Eligible),Lead Source_Google,How did you hear about X Education_Online Search,Tags_University not recognized,Last Activity_Converted to Lead,Tags_in touch with EINS,Last Activity_Resubscribed to emails,Lead Source_Facebook,Specialization_Unspecified,Last Notable Activity_Email Bounced,City_Other Metro Cities,Lead Profile_Other Leads,Lead Profile_Lateral Student,City_Thane & Outskirts,Last Activity_Had a Phone Conversation,Last Notable Activity_Form Submitted on Website,Tags_opp hangup,Tags_In confusion whether part time or DLP,What is your current occupation_Student,Lead Source_welearnblog_Home,Tags_Still Thinking,Specialization_Services Excellence,How did you hear about X Education_Unspecified,Lead Source_blog,Lead Source_Organic Search,Last Notable Activity_Olark Chat Conversation,Lead Source_Others,Specialization_Hospitality Management,City_Unspecified,How did you hear about X Education_Multiple Sources,Last Notable Activity_Had a Phone Conversation,Tags_Graduation in progress,Last Notable Activity_Email Received,City_Other Cities of Maharashtra,Tags_Recognition issue (DEC approval),Last Notable Activity_Email Marked Spam,Lead Source_Press_Release,Specialization_Finance Management,Specialization_Operations Management,Lead Source_Social Media,Last Activity_Email Opened,Specialization_Marketing Management,What is your current occupation_Other,Tags_Lost to EINS,Last Notable Activity_View in browser link Clicked,What is your current occupation_Housewife,How did you hear about X Education_Student of SomeSchool,Last Notable Activity_Email Link Clicked,Last Notable Activity_Email Opened,City_Tier II Cities,Tags_Busy,Lead Origin_Quick Add Form,Specialization_IT Projects Management,Converted
8658,False,-0.8211084124513459,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.45090822306340833,False,False,False,False,False,False,False,True,True,False,False,1.2770875728298379,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,0
64,True,1.7275843166708105,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1726516944229551,False,False,False,False,False,False,False,True,True,False,False,0.7949933014211268,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
3343,False,1.4028403612064269,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,False,False,False,False,False,-0.1691952413962954,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2395,False,-0.7536054554166145,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,0.1726516944229551,False,False,False,False,False,False,False,False,True,False,False,0.7949933014211268,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
4883,True,-0.8904357737302593,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,1
8977,True,1.4922361691713415,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.1056048342174981,False,False,False,False,False,False,False,True,True,False,False,0.3128990300124157,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
3485,False,1.765896805798631,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.1056048342174981,False,False,False,False,False,False,False,False,False,False,False,-0.410242377100651,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
1384,False,2.7948607995172394,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,False,False,False,False,False,-0.1691952413962954,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
5197,False,-0.5894090734402408,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.1726516944229551,False,False,False,True,False,False,False,False,True,False,False,0.7949933014211268,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
1864,False,-0.24277226704567412,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0.1726516944229551,False,False,False,False,False,False,False,False,True,False,False,0.7949933014211268,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
3813,False,1.0233642784165855,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,-0.1056048342174981,False,False,False,False,False,False,False,True,True,False,False,0.3128990300124157,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
5933,False,-0.8302304336722556,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7291647517038615,False,False,False,False,False,False,False,False,True,False,False,0.3128990300124157,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
5677,True,0.02906396533743349,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7291647517038615,False,False,False,False,False,False,False,False,False,False,False,1.7591818442385492,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
5982,False,-0.2372990543131283,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7291647517038615,False,False,False,False,False,False,False,True,False,False,True,1.7591818442385492,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
4216,True,-0.8904357737302593,False,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
7663,False,0.0783228799303456,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,False,True,True,False,False,-0.1691952413962954,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0
4418,False,-0.8904357737302593,False,True,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
3118,False,-0.8904357737302593,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,-0.9403744201388577,True,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
4145,False,-0.8904357737302593,False,True,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
4035,False,-0.09864433175530161,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.1056048342174981,False,False,True,False,False,False,False,True,True,False,False,-0.410242377100651,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
5492,True,1.4648701055086126,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,1.5639343376252213,False,False,True,False,False,False,False,True,True,False,False,0.3128990300124157,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
3200,True,2.156319314053564,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.1726516944229551,False,False,False,False,False,False,False,False,True,False,False,0.7949933014211268,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2162,True,1.4429772545784294,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.1726516944229551,False,False,False,False,False,False,False,False,False,False,False,-0.1691952413962954,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
510,False,-0.08952231053439197,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0.1726516944229551,False,False,False,False,False,False,False,True,True,False,False,0.7949933014211268,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
4024,True,0.15859666667435054,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,False,True,True,False,False,-0.1691952413962954,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
3848,False,-0.8904357737302593,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
5842,False,-0.8284060294280737,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,False,True,True,False,False,-0.1691952413962954,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
3593,False,-0.7353614129747953,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,0.7291647517038615,False,False,False,False,False,False,False,False,True,False,False,-0.5548706585232643,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
169,False,-0.19533775669694392,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,-0.1056048342174981,False,False,False,False,False,False,False,True,True,False,False,-0.410242377100651,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
3870,False,-0.39237341506859236,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,-0.6621178914984045,False,False,False,False,False,False,False,True,True,False,False,-0.6512895128050066,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2133,False,-0.770025093614252,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0.1726516944229551,False,False,False,False,False,False,False,True,True,False,False,-0.4921984032401318,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0
6511,False,-0.76820068937007,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0.45090822306340833,False,False,False,False,False,False,False,False,True,False,False,1.2770875728298379,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1373,True,-0.005599715302023182,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,False,False,False,False,False,-0.1691952413962954,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
5470,False,1.1565457882418664,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,False,True,True,False,False,-0.1691952413962954,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0
3794,True,-0.41244186175459363,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.1056048342174981,False,False,False,False,False,False,False,False,True,False,False,0.3128990300124157,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,1
3219,False,-0.5565697970449661,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,False,False,True,False,False,-0.1691952413962954,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
6173,False,-0.21905501187130902,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,-0.3838613628579513,True,False,True,False,False,False,False,True,True,False,False,-0.1691952413962954,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
5116,False,-0.8904357737302593,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
3256,False,-0.3814269896035008,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,False,False,False,False,False,-0.1691952413962954,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
7608,False,-0.8904357737302593,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
8411,False,-0.8904357737302593,False,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1991,False,-0.8904357737302593,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
2311,True,1.1583701924860483,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.45090822306340833,False,False,False,False,False,False,False,False,True,False,False,0.07185189430806015,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
5059,False,-0.48176922303350694,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0074212803443148,False,False,False,False,False,False,False,True,True,False,False,2.24127611564726,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
4203,True,-0.14425443785984987,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.1726516944229551,False,False,False,False,False,False,False,False,True,False,False,0.7949933014211268,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
7949,True,0.49793585609218954,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7291647517038615,False,False,False,False,False,False,False,False,True,False,False,0.3128990300124157,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
6518,True,0.45597455847600515,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.45090822306340833,False,False,False,False,False,False,False,False,True,False,False,1.2770875728298379,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1809,True,-0.5857602649518769,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.285677808984768,False,False,False,False,False,False,False,False,False,False,False,0.7949933014211268,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
