index,season no.,episode no.,episode name,name,line
92,1,1,Pilot,Rick,"It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business.  It's important. Come on, Morty."
93,1,1,Pilot,Morty,"I don't know, Rick. I can't leave school again."
94,1,1,Pilot,Rick,"Do you have any concept of how much higher the stakes get out there, Morty? What do you think I can just do it all by myself? Come on!"
95,1,1,Pilot,Morty,"Aw, geez. Okay. I guess I can skip history. What about Frank? I mean, shouldn't you unfreeze him?"
96,1,1,Pilot,Rick,"I'll do it later, Morty. He'll be fine. Let's go."
98,1,1,Pilot,Summer,"Hi, Frank."
99,1,1,Pilot,Summer,AAAAAAAAAAAHHHHH!!!!!!!
100,1,1,Pilot,Beth,Scalpel.
102,1,1,Pilot,Jerry,"Knock, knock."
103,1,1,Pilot,Beth,Jerry?
104,1,1,Pilot,Jerry,"My manager gave me an hour for lunch, and I thought, ""hey, why not swing by where your wife works?"""
107,1,1,Pilot,Beth,"Jerry, please tell me you're here for an incredibly urgent reason."
108,1,1,Pilot,Jerry,"Well, it's lunch. I mean, it's one of three meals that have existed for millennia."
111,1,1,Pilot,Beth,"Okay, I only ask, Jerry, because, as you know, my job involves performing heart surgery."
112,1,1,Pilot,Jerry,"Well, yeah, on horses."
113,1,1,Pilot,Beth,Excuse me?
114,1,1,Pilot,Jerry,"Okay, Let's not rehash that fight. I sense that you're busy and will now be on my way."
115,1,1,Pilot,Jerry,"Whoa! What is this on the floor? Some kind of literature for a really nice-looking nursing home. Hey, honey, crazy idea bad pitch let's put your dad here. Let's put your dad in a nursing home."
117,1,1,Pilot,Beth,"Hey, Tom! We know when we're losing him. WE CAN HEAR THE BEEPS!"
118,1,1,Pilot,Rick,"There she is. All right. Come on, Morty. Let's go."
119,1,1,Pilot,Morty,"Oh, geez, okay."
120,1,1,Pilot,Morty,"Oh, man, Rick. What is this place?"
121,1,1,Pilot,Rick,"It's Dimension 35-C, and it's got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and there's seeds in those fruits. I'm talking about Mega Seeds. They're they're incredibly powerful, and I need them to help me with my research, Morty."
122,1,1,Pilot,Morty,"Oh, man, Rick. I'm looking around this place, and I'm starting to work up some anxiety about this whole thing."
123,1,1,Pilot,Rick,"All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. You're looking around, and it's all scary and different, but, you know, m-meeting them head on, charging right into them like a bull that's how we grow as people. I'm no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, we're gonna be—"
124,1,1,Pilot,Rick,"HOLY CRAP, MORTY RUN!!!"
125,1,1,Pilot,Rick,"I never seen that thing before in my life. I don't even know what the hell it is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're gonna die, Morty!"
126,1,1,Pilot,Rick,"Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that? That's the smell of adventure, Morty. That's that's the smell of-of-of-of a whole different evolutionary timeline."
127,1,1,Pilot,Morty,"All right, Rick, look how much longer is this gonna be? Shouldn't I be back at school by now?"
128,1,1,Pilot,Rick,"Are you joking me? I mean, look at all the crazy crap surrounding us. Look at that thing right there.  What the hell is that thing? You think you're gonna see that kind of thing at school?  Look at it just lumbering around.  It defies all logic, that thing."
129,1,1,Pilot,Morty,"Yeah, Rick, I get it. We're surrounded by monsters. That's kind of the reason why I want to leave."
130,1,1,Pilot,Rick,"Ta-ta-ta-ta-ta-ta. Morty, you see this?"
131,1,1,Pilot,Rick,"You see what we just stumbled upon, Morty? Any idea what that is down there?"
132,1,1,Pilot,Morty,The mega trees?
133,1,1,Pilot,Rick,"That's right, Morty the mega trees with the mega fruit on them and that's what I'm talking about, Morty. That's where my seeds are. If we would have done what you wanted, I would have never have found them, because you're so in love with school."
134,1,1,Pilot,Morty,"All right, all right. So, what's so special about these seeds, anyways?"
135,1,1,Pilot,Rick,"You ask a lot of questions, Morty. Not very charismatic. It makes you kind of an  under-  underfoot figure."
136,1,1,Pilot,Rick,"Just take these shoes, Morty. They're  special grappling shoes. When you're wearing these things, these babies, you can basically just walk on any surface you want, Morty up, down, below, turn around to the left. These things really bring it all together."
137,1,1,Pilot,Morty,AAAAAAAHHHH!!!!!!
138,1,1,Pilot,Rick,"You have to turn them on, Morty! The shoes have to be turned on!"
139,1,1,Pilot,Beth,"I am not putting my father in a home! He just came back into my life, and you want to grab him and stuff him under a mattress like last month's Victoria's Secret?"
140,1,1,Pilot,Jerry,"I told you I was ordering you something for Valentine's Day. More importantly, your father is a horrible influence on our son."
142,1,1,Pilot,Beth,"It's fine, Davin."
144,1,1,Pilot,Jerry,"Since we're fighting, if you ever have an affair with that guy, I will come to the hotel room and blow my brains out all over your naked bodies."
145,1,1,Pilot,Beth,"Look, I appreciate the stress you're under, but Morty was having trouble in school way before my dad moved in, and the only influence I can see Rick having is that, for the first time in his life, Morty has a friend."
146,1,1,Pilot,Jerry,"Well, maybe you're right."
147,1,1,Pilot,Beth,"Uh, yeah, maybe I am. I'm my father's daughter. I'm smart. Why do you think I'm a heart surgeon?"
148,1,1,Pilot,Jerry,"Ahem, Horse heart surgeon."
149,1,1,Pilot,Principal Vagina,"Hello? Mrs. Smith? This is Principal Vagina, no relation. I wonder if you and Morty's father might be able to have a chat with me this afternoon?"
150,1,1,Pilot,Rick,"Morty, oh, you really d-did a number on  your legs right now. You know, you got to turn  the shoes on, Morty, for them to work. Yeah, look I turned mine on. I had no problem getting down here. It was a leisurely breeze."
151,1,1,Pilot,Morty,"I'm in a lot of pain, Rick!"
152,1,1,Pilot,Rick,"Yeah, I can see that. But do you think you'll still be able to help me collect my seeds, Morty?"
153,1,1,Pilot,Morty,"Are you kidding me?! That's it, Rick! That's the last straw! I can't believe this! I'm sitting here with both of my legs broken, and you're still asking me about getting those seeds?! Ooh! Ow! Oh! Y-y-you're a monster. Y-you're like Hitler, but-but even Hitler cared about Germany or something."
154,1,1,Pilot,Rick,"Okay, hold on just a second, Morty."
155,1,1,Pilot,Morty,Ooh! Ohh! Ooh! Hnngh! Hoo! Ooh! Ohh! Aaaaagh! Oooooh!
156,1,1,Pilot,Morty,"Ooh, Ohh, Ooh. Wow, Rick. That stuff just healed my broken legs instantly. I mean, I've never felt so good in my life. Thank you."
157,1,1,Pilot,Rick,"Don't worry about it, Morty. Just come help me get these seeds, all right, buddy?"
158,1,1,Pilot,Morty,"Sure thing, Rick."
159,1,1,Pilot,Rick,"Not that you asked, Morty, but what just happened there is I went into a future dimension with such advanced medicine that they had broken-leg serum at every corner drugstore.  The stuff was all over the place, Morty."
160,1,1,Pilot,Morty,"Wow, that's pretty crazy, Rick."
161,1,1,Pilot,Rick,"There's just one problem, Morty one little hang-up. The dimension I visited was so advanced, that  they had also halted the aging process, and everyone there was young, Morty, and they had been forever. I was the only old person there, Morty.  It was like I was some sort of, you know, celebrity, walking around. I-I was fascinating to them. There were a lot of attractive women there, Morty, and they-they-they— they all wanted time with me. I had a lot of fun with a lot of young ladies, but I spent so much time there, my interdimensional portal device it's got no charge left, Morty. It's got no charge left."
162,1,1,Pilot,Morty,What?!
163,1,1,Pilot,Rick,"It's as good as garbage, Morty. It's not gonna work anymore, Morty."
164,1,1,Pilot,Morty,"Oh, geez, Rick, that's not good. W-what are we gonna do? I-I have to be back at school right now. How are we gonna get back home?"
165,1,1,Pilot,Rick,"There's ways to get back home, Morty. It's just it's just gonna be a little bit of a hassle. We're gonna have to go through interdimensional customs, so you're gonna have to do me a real solid."
166,1,1,Pilot,Morty,Uh-oh.
167,1,1,Pilot,Rick,"When we get to customs, I'm gonna need you to take these seeds into the bathroom, and I'm gonna need you to put them way up inside your butthole, Morty."
168,1,1,Pilot,Morty,In my butt?
169,1,1,Pilot,Rick,"Put them way up inside there, as far as they can fit."
170,1,1,Pilot,Morty,"Oh, geez, Rick. I really don't want to have to do that."
171,1,1,Pilot,Rick,"Well, somebody's got to do it, Morty. Th-these seeds aren't gonna get through customs unless they're in someone's rectum, Morty"
172,1,1,Pilot,Morty,Uuuh.
173,1,1,Pilot,Rick,"And they'll fall right out of mine. I've done this too many times, Morty. I mean, you're young. Y-y-you've got your whole life ahead of you, and your anal cavity is still taut, yet malleable. You got to do it for grandpa, Morty. Y-  you've got to put these seeds inside your butt."
174,1,1,Pilot,Morty,In my butt?
175,1,1,Pilot,Rick,"Come on, Morty. Please, Morty. You have to do it, Morty."
176,1,1,Pilot,Morty,"Oh, man."
177,1,1,Pilot,Principal Vagina,"The fact is, your son, Morty, has attended this school for a total of seven hours over the last two months."
178,1,1,Pilot,Beth,What? Why didn't you notify us?
179,1,1,Pilot,Principal Vagina,I done been notifying you. Have you not been getting the messages I've been leaving with Morty's grandfather?
180,1,1,Pilot,Jerry,"Boom! Told you! In your face! He is ruining our child! Wait, what am I celebrating?"
181,1,1,Pilot,Principal Vagina,"Yeah, see, I thought something was fishy there, because it's usually Morty's grandpa that's taking him out of school."
182,1,1,Pilot,Beth,Summer?
183,1,1,Pilot,Summer,What kind of God lets this happen?
184,1,1,Pilot,Principal Vagina,We had a little incident. A student was frozen to death.  And there's no evidence that a Latino student did it! Everyone wants to take this to a racial place. I won't let them.
185,1,1,Pilot,Announcer,The glarp zone is for flarping and unglarping only.
188,1,1,Pilot,Announcer,The glarp zone is for flarping and unglarping only.
189,1,1,Pilot,Rick,"I don't like it here, Morty. I can't abide bureaucracy. I don't like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt?"
190,1,1,Pilot,Morty,"Yeah, Rick. Let's just get this over with, okay? I mean, these things are pointy. They hurt."
191,1,1,Pilot,Rick,"That means they're good ones. You're a good kid, Morty. Those mega seeds are super valuable to my work. You've been a huge help to me. I'm gonna be able to do a-"
194,1,1,Pilot,Rick,Why does he have to go over there?
196,1,1,Pilot,Rick,What new-  what new machine?
198,1,1,Pilot,Rick,"Run, Morty! Run!"
199,1,1,Pilot,Morty,Aaaaaah!
201,1,1,Pilot,Morty,Ohhhhh!
202,1,1,Pilot,Morty,Ohhhhhh!
203,1,1,Pilot,Morty,Aaaaah!
204,1,1,Pilot,Rick,Don't think about it!
205,1,1,Pilot,Rick,"Ooh! Oh, nice, Morty! The student becomes the teacher."
206,1,1,Pilot,Morty,Whoooooo!
208,1,1,Pilot,Rick,"I need to type in the coordinates to our home world, Morty. Cover me."
209,1,1,Pilot,Morty,"Oh, man. I mean, you know, I-I don't want to shoot nobody."
210,1,1,Pilot,Rick,"They're just robots, Morty! It's okay to shoot them! They're robots!"
213,1,1,Pilot,Morty,"They're not robots, Rick!"
214,1,1,Pilot,Rick,"It's a figure of speech, Morty. They're bureaucrats. I don't respect them. Just keep shooting, Morty. You have no idea what prison is like here!"
215,1,1,Pilot,Morty,Holy crap! This is insane!
216,1,1,Pilot,Rick,"Come on, Morty! We got to get the hell out of here!"
217,1,1,Pilot,Jessica,Wow. Did you just come into the cafeteria through a portal?
218,1,1,Pilot,Morty,"Uh, yeah. Well, you know, my-my Ferrari's in the shop.  Just kidding."
219,1,1,Pilot,Jessica,"You're Morty, right?"
220,1,1,Pilot,Morty,Yeah.
221,1,1,Pilot,Rick,"You can get his number later. Come on, Morty. We got to get out of here. You got to get those seeds out of your ass."
222,1,1,Pilot,Jerry,"Oh, look, honey. It's our son with Albert Ein-douche."
223,1,1,Pilot,Beth,What?
224,1,1,Pilot,Jerry,"I'm an angry father, not an improviser."
225,1,1,Pilot,Rick,"Oh, hi, Jerry. Oh, my goodness, Morty! What are you doing out of class? We talked about this. Your-your parents and I are very disappointed in-in this behavior... No? No takers?"
226,1,1,Pilot,Rick,You guys should really not be touching that stuff. It's beyond your reasoning.
227,1,1,Pilot,Jerry,You're beyond our reasoning!
228,1,1,Pilot,Rick,Takes one to know one.
229,1,1,Pilot,Beth,"Dad, how could you make my son miss an entire semester of school? I mean, it's not like he's a hot girl. He can't just bail on his life and set up shop in someone else's."
230,1,1,Pilot,Rick,What what are you guys doing with my stuff?
231,1,1,Pilot,Beth,We're moving you to a nursing home.
232,1,1,Pilot,Rick,"A nursing home? What are what are you, nuts? I'm a genius. I build robots for fun."
233,1,1,Pilot,Jerry,"Well, now you can build baskets and watch Paul Newman movies on VHS and mentally scar the Boy Scouts every Christmas."
234,1,1,Pilot,Beth,What does that mean?
235,1,1,Pilot,Jerry,It's personal.
236,1,1,Pilot,Morty,"Dad, mom, come on. Rick just needed my help is all."
237,1,1,Pilot,Jerry,"Morty, stay out of this. You are obviously not capable of judging these situations on your own."
238,1,1,Pilot,Rick,What are you trying to say about Morty? That he's stupid or something?
239,1,1,Pilot,Beth,"Oh, don't high-road us, dad. You know fully well that Morty is the last child that needs to be missing classes."
240,1,1,Pilot,Rick,I-I-I don't know what you mean by that. Can can can you be a little bit more specific?
241,1,1,Pilot,Jerry,"Oh, for crying out—he's got some kind of disability or something. Is that what you want us to say?"
242,1,1,Pilot,Morty,I do?
243,1,1,Pilot,Jerry,"Well, duh doy, son. Look, I love you, Morty, but we both know you're not as fast as the other kids, and if you want to compete in this world, you got to work twice as hard."
244,1,1,Pilot,Morty,"Aw, geez, dad. Y-you know, that's a lot to drop on a kid all at once."
245,1,1,Pilot,Rick,"Morty, t-tell your parents the square root of pi."
246,1,1,Pilot,Morty,"Oh, come on, Rick. You know I can't."
247,1,1,Pilot,Rick,"The square root of Pi, Morty. Go!"
248,1,1,Pilot,Morty,1.77245385... Whoa!
249,1,1,Pilot,Beth,What the hell?
250,1,1,Pilot,Jerry,Holy crap. He's right.
251,1,1,Pilot,Rick,"Morty, tell your parents the first law of Thermodynamics."
252,1,1,Pilot,Morty,"""The increment in the internal energy of a system is equal to the increment of heat supplied to the system."" Wow! I'm so smart!"
253,1,1,Pilot,Jerry,But—
254,1,1,Pilot,Rick,I told the both of you school is stupid. It's not how you learn things. Morty's a gifted child. He has a special mind. That's why he's my little helper. He's like me. He's gonna be doing great science stuff later in his life. He's too smart for school. He needs to keep hanging out and helping me.
255,1,1,Pilot,Beth,"Jerry, I don't want whatever's happening here to stop."
256,1,1,Pilot,Jerry,"No, I-I understand. Uh, maybe we overreacted. But he has to keep going to school."
257,1,1,Pilot,Rick,"Okay, Jerry. You drive a hard bargain, but what am I supposed to do? Say no? You-you really wear the pants around here. I just want you to know, between us, from now on, it's gonna be clear communication."
258,1,1,Pilot,Summer,Frank Palicky was frozen to death today!
259,1,1,Pilot,Rick,No idea what you're talking about.
260,1,1,Pilot,Jerry,"Okay. Well, uh, Morty, it's your bedtime in an hour. Don't stay up all night again. This is good, though. This can work. I think we can be a family and now, Beth, if you'll have me, I would love to have you."
261,1,1,Pilot,Beth,You know what? Okay.
262,1,1,Pilot,Morty,"Holy cow, Rick. I didn't know hanging out with you was making me smarter."
263,1,1,Pilot,Rick,"Full disclosure, Morty it's not. Temporary superintelligence is just a side effect of the mega seeds dissolving in your rectal cavity."
264,1,1,Pilot,Morty,"Aw, man."
265,1,1,Pilot,Rick,"Yeah, and once those seeds wear off, you're gonna lose most of your motor skills, and you're also gonna lose a significant amount of brain functionality for 72 hours, Morty."
267,1,1,Pilot,Morty,"Ohh, man.  Oh, geez! Ohh."
268,1,1,Pilot,Rick,"I'm sorry, Morty. It's a bummer. In reality, you're as dumb as they come and I needed those seeds real bad, and I had to give them up just to get your parents off my back, so now we're gonna have to go get more adventures.  And then we're gonna go on even more adventures after that, Morty and you're gonna keep your mouth shut about it, Morty, because the world is full of idiots that don't understand what's important, and they'll tear us apart, Morty but if you stick with me, I'm gonna accomplish great things, Morty, and you're gonna be part of them, and together, we're gonna run around, Morty. We're gonna do all kinds of wonderful things, Morty. Just you and me, Morty. The outside world is our enemy, Morty. We're the only friends we've got, Morty. It's just Rick and Morty. Rick and Morty and their adventures, Morty. Rick and Morty forever and forever. Morty's things. Me and Rick and Morty running around, and Rick and Morty time. All day long, forever. All a hundred days. Rick and Morty forever 100 times. Over and over, rickandmortyadventures.com. All 100 years. Every minute, rickandmorty.com."
270,1,2,Lawnmower Dog,Jerry,What? Why are you looking at me? You want to go outside? Outside?
271,1,2,Lawnmower Dog,Jerry,Outside?
272,1,2,Lawnmower Dog,Jerry,Are you kidding me?! Come on!
273,1,2,Lawnmower Dog,Summer,"Oh, my God."
274,1,2,Lawnmower Dog,Morty,What's wrong?
275,1,2,Lawnmower Dog,Jerry,Your idiot dog!
276,1,2,Lawnmower Dog,Morty,"Oh, he he didn't mean it, dad. Did you, snuffles? You're a good boy."
277,1,2,Lawnmower Dog,Jerry,"Don't praise him now, Morty! He just peed on the carpet! Bad dog! Bad!"
278,1,2,Lawnmower Dog,Rick,"Morty, come on. I need your help tonight."
279,1,2,Lawnmower Dog,Jerry,"Hey, wait, hold on a second, Rick. You wouldn't by any chance have some sort of crazy science thing you could whip up that might help make this dog a little smarter, would you?"
280,1,2,Lawnmower Dog,Rick,"I thought the whole point of having a dog was to feel superior, Jerry. If I were you, I wouldn't pull that thread. Come on, Morty."
281,1,2,Lawnmower Dog,Jerry,"Listen, Rick, if you're gonna stay here rent-free and use my son for your stupid science, the least you could do is put a little bit of it to use for the family. You make that dog smart or Morty's grounded!"
282,1,2,Lawnmower Dog,Summer,Ha-ha!
283,1,2,Lawnmower Dog,Morty,"Aw, man!"
284,1,2,Lawnmower Dog,Rick,"Boy, you really got me up against a wall this time, Jerry."
285,1,2,Lawnmower Dog,Rick,"All right, Ruffles What's his name?"
286,1,2,Lawnmower Dog,Morty,Snuffles.
287,1,2,Lawnmower Dog,Rick,"Snuffles, shake."
288,1,2,Lawnmower Dog,Rick,Roll over.
289,1,2,Lawnmower Dog,Rick,Go to the bathroom.
290,1,2,Lawnmower Dog,Jerry,Holy crap!
291,1,2,Lawnmower Dog,Summer,No way.
292,1,2,Lawnmower Dog,Rick,"Yeah, you're at the top of your game now, Jerry. Have fun. Come on, Morty."
293,1,2,Lawnmower Dog,Morty,"That was fantastic, Rick!"
294,1,2,Lawnmower Dog,Rick,"Yeah, Morty, if you like that, boy, you're you're really going to flip your lid over this one."
295,1,2,Lawnmower Dog,Morty,W-w-w-what is it?
296,1,2,Lawnmower Dog,Rick,"It's a device, Morty, that when you put it in your ear, you can enter people's dreams, Morty. It's just like that movie that you keep crowing about."
297,1,2,Lawnmower Dog,Morty,"You talking about ""Inception""?"
298,1,2,Lawnmower Dog,Rick,"That's right, Morty. This is gonna be a lot like that, except, you know, it's gonna may--be make sense."
299,1,2,Lawnmower Dog,Morty,"""Inception"" made sense."
300,1,2,Lawnmower Dog,Rick,"You don't have to try to impress me, Morty. Listen, tonight we're gonna go into the home of your math teacher, Mr. Goldenfold, and we're gonna incept the idea in his brain to give you A's in math, Morty. That way you can, you know, y-you're gonna help me with my science, Morty, all the time."
301,1,2,Lawnmower Dog,Morty,"Geez, Rick, in the time it took you to make this thing, couldn't you have just, you know, helped me with my homework?"
302,1,2,Lawnmower Dog,Rick,"Are you listening to me, Morty? Homework is stupid. The whole point is to get less of it."
303,1,2,Lawnmower Dog,Rick,"Come on, let's just get over there and deal with this thing. W-we're gonna incept your teacher. You're frustrating me."
304,1,2,Lawnmower Dog,Mrs. Pancakes,You don't know me!
305,1,2,Lawnmower Dog,Mr. Goldenfold,"' Nice, Mrs. Pancakes real nice."
307,1,2,Lawnmower Dog,Mrs. Pancakes,You don't know me!
309,1,2,Lawnmower Dog,Rick,Uh-oh! Spoilers!
310,1,2,Lawnmower Dog,Rick,I'm a full season behind.
311,1,2,Lawnmower Dog,Morty,"Wow, Rick, I can't believe we're sitting around, standing around in Mr. Goldenfold's house. It's really weird."
312,1,2,Lawnmower Dog,Rick,"It's about to get a whole lot weirder, Morty."
313,1,2,Lawnmower Dog,Mrs. Pancakes,Wheat thins. Wheat thins.
314,1,2,Lawnmower Dog,Mr. Goldenfold,I'll take two.
315,1,2,Lawnmower Dog,Mrs. Pancakes,"Oh, I think you've had enough, sir."
317,1,2,Lawnmower Dog,Rick,"All right, Morty, time to make our move."
318,1,2,Lawnmower Dog,Mr. Goldenfold,Make it bounce.
319,1,2,Lawnmower Dog,Mrs. Pancakes,"No, you didn't."
320,1,2,Lawnmower Dog,Mr. Goldenfold,"Oh, jiggle it now."
321,1,2,Lawnmower Dog,Mrs. Pancakes,You better stop with that.
322,1,2,Lawnmower Dog,Rick,Allahu  akbar! We're gonna take control of this plane! We're gonna 9/11 it unless Morty Smith gets better grades in math!
