customer_id,age,gender,tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,partner,dependents,phone_service,multiple_lines,churn
33,44,Female,8,93.39206009027274,1153.1490338746353,Two year,Credit card,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Yes,Yes,No,Yes,Yes,0
34,29,Female,1,52.9915286852259,3249.6189052966665,Month-to-month,Mailed check,DSL,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,1
35,57,Female,19,27.669200972787678,2779.349003905332,Two year,Mailed check,Fiber optic,No,No internet service,No internet service,No internet service,No,No internet service,No,Yes,Yes,Yes,Yes,0
36,26,Female,4,85.15027379673845,1960.9804806224558,Month-to-month,Bank transfer,DSL,No internet service,No internet service,Yes,No,No internet service,Yes,Yes,Yes,No,No,No phone service,1
37,48,Female,4,51.30740348479992,1582.0904542341095,One year,Mailed check,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,1
38,15,Male,6,80.81251198325538,-25.80787311137692,Month-to-month,Electronic check,No,Yes,Yes,No internet service,No internet service,Yes,No internet service,Yes,Yes,No,No,No,1
39,25,Male,8,25.597923645763288,929.1475813155612,Two year,Electronic check,Fiber optic,Yes,No,Yes,No,No internet service,No,No,No,No,No,No phone service,0
40,47,Male,5,82.85194676598618,3911.419087139723,Month-to-month,Electronic check,DSL,No internet service,No internet service,No internet service,No,No internet service,No internet service,No,No,No,Yes,No,1
41,56,Male,0,40.776561414384375,719.5444289975333,One year,Bank transfer,No,No internet service,No internet service,Yes,No,Yes,No internet service,Yes,Yes,No,Yes,No,0
42,47,Female,2,79.61528238133049,2189.479821221081,Month-to-month,Electronic check,No,Yes,Yes,No,No,No internet service,No,Yes,Yes,Yes,No,Yes,1
43,43,Female,13,65.28546135672869,3007.4439731951984,Two year,Bank transfer,No,Yes,No internet service,No internet service,Yes,No,No,No,No,Yes,Yes,No,0
44,40,Female,1,45.921211612067104,745.0773319977075,Two year,Bank transfer,Fiber optic,No,No,No,No,No,Yes,No,Yes,Yes,No,No,0
45,22,Male,2,56.85927374146439,2184.710474781083,One year,Electronic check,Fiber optic,No internet service,No,No internet service,No,No internet service,No,Yes,No,No,Yes,No phone service,0
46,34,Female,2,78.72636913913402,2937.9155375106548,Two year,Mailed check,No,No internet service,No internet service,Yes,Yes,Yes,No internet service,No,Yes,No,No,No phone service,0
47,38,Female,2,67.11788906230468,2012.4993219072503,Month-to-month,Credit card,No,Yes,Yes,No,No,No,No internet service,No,No,No,Yes,Yes,1
48,60,Female,4,76.68825960944969,4868.4030556667685,Month-to-month,Bank transfer,DSL,Yes,No internet service,Yes,No internet service,Yes,No,No,Yes,Yes,Yes,No phone service,1
49,50,Male,14,104.52881169030971,331.4007411218047,Month-to-month,Electronic check,DSL,No internet service,No,No internet service,No internet service,No,Yes,No,No,No,No,Yes,0
50,18,Female,1,33.71516776577897,3058.7285298838788,Two year,Bank transfer,DSL,No,Yes,No internet service,No,No,No internet service,No,No,Yes,No,Yes,0
51,49,Male,0,97.34425149937248,1827.1982626035356,Month-to-month,Mailed check,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No,No,No,No,No,No,1
52,39,Male,1,67.08711875046426,2771.920154836675,Month-to-month,Mailed check,No,No internet service,Yes,No internet service,Yes,No internet service,Yes,Yes,Yes,No,Yes,Yes,1
53,34,Male,10,47.02431903353744,2441.307151699246,Month-to-month,Electronic check,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,Yes,Yes,No,No,Yes,No,0
54,54,Male,5,38.393727485220204,1266.8438028900034,One year,Bank transfer,No,No,No,No,No,No internet service,No internet service,Yes,No,Yes,Yes,Yes,0
55,60,Female,1,61.21759218445933,2228.9963924593403,Two year,Credit card,DSL,No,Yes,No internet service,No,No,No internet service,Yes,Yes,No,Yes,No phone service,1
56,58,Male,8,83.4330022384892,142.09854860171276,Two year,Credit card,DSL,Yes,No internet service,Yes,No internet service,No,Yes,No,Yes,Yes,No,No phone service,1
57,32,Male,9,62.449017592449316,2603.2475005713936,Two year,Bank transfer,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No phone service,0
58,40,Female,9,95.22309860494695,2298.1584659905257,One year,Bank transfer,DSL,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,1
59,49,Female,12,35.97648619896882,2638.660168643102,Two year,Bank transfer,No,No internet service,No internet service,No internet service,No,No,No,No,No,No,Yes,Yes,0
60,59,Male,1,64.7582210430789,3058.11832508715,One year,Electronic check,DSL,Yes,No,Yes,No,No internet service,No internet service,Yes,Yes,No,Yes,No,0
61,37,Female,7,39.952131111737614,2367.6198402097107,One year,Mailed check,No,No internet service,No,No,Yes,No internet service,Yes,Yes,Yes,Yes,No,No,0
62,42,Male,3,72.27263765249936,2148.089419798276,Two year,Credit card,No,Yes,No internet service,No,Yes,Yes,No internet service,No,Yes,No,No,No,0
63,28,Male,9,82.737747801946,1118.9316633387077,Month-to-month,Electronic check,Fiber optic,No,No internet service,No,No internet service,Yes,No internet service,Yes,Yes,Yes,Yes,No,1
64,27,Male,6,56.584764126378936,1287.779236350949,Month-to-month,Bank transfer,DSL,No,No,Yes,Yes,No,No internet service,Yes,Yes,No,No,Yes,1
65,57,Male,7,12.915722867457319,3186.7346201773307,Two year,Bank transfer,DSL,No internet service,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,0
66,65,Female,5,68.97896293592989,3436.3354057059787,Two year,Mailed check,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,No,Yes,No,Yes,No,0
67,43,Male,0,73.73477103467019,1761.889563687946,One year,Bank transfer,No,No internet service,Yes,No internet service,Yes,No,Yes,No,No,Yes,No,Yes,0
68,60,Female,3,73.08589509923395,2046.002747253274,Two year,Electronic check,DSL,No internet service,No internet service,No internet service,Yes,Yes,No internet service,No,No,No,No,Yes,0
69,50,Female,20,89.71564383644308,1095.385625006234,One year,Electronic check,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0
70,35,Female,13,43.578926407019026,3172.756845267445,Two year,Mailed check,Fiber optic,No internet service,Yes,No,Yes,No internet service,Yes,No,No,Yes,No,Yes,0
71,50,Female,0,78.60432210900899,2665.4168236917785,Month-to-month,Electronic check,No,No,Yes,Yes,No,Yes,No internet service,Yes,No,No,Yes,No,1
72,68,Male,0,88.8501502495595,3941.2174364637494,Month-to-month,Credit card,DSL,Yes,No internet service,Yes,Yes,No,No internet service,Yes,Yes,Yes,No,No,1
73,44,Female,0,29.428248319869667,1121.676922820261,Two year,Electronic check,No,Yes,Yes,Yes,No,No internet service,Yes,Yes,Yes,No,No,Yes,0
74,68,Male,6,71.39303651837955,1621.9921009817829,One year,Electronic check,No,No,No internet service,No internet service,No,No internet service,Yes,No,Yes,Yes,No,No phone service,1
75,5,Female,8,54.91640337984657,2231.4459225255723,Month-to-month,Electronic check,DSL,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,1
76,57,Female,1,63.36954653796708,2646.489537725771,One year,Credit card,DSL,No,Yes,No internet service,No internet service,No,Yes,Yes,No,Yes,Yes,No,1
77,46,Male,3,71.95352967076673,1784.3323624523678,Two year,Bank transfer,No,No,No internet service,Yes,No,No,No,Yes,No,Yes,Yes,No phone service,0
78,40,Male,9,55.255428717728954,1127.0389095462997,Two year,Electronic check,No,Yes,Yes,No internet service,Yes,Yes,Yes,Yes,Yes,No,No,No,0
79,46,Male,6,51.48583841676776,2881.407528923571,Month-to-month,Mailed check,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,No,Yes,Yes,No,No phone service,1
80,15,Female,3,65.6830483497605,2721.1353625455818,Two year,Credit card,DSL,No internet service,No internet service,Yes,Yes,Yes,No internet service,Yes,No,No,Yes,No phone service,0
81,41,Female,4,43.25508122274395,1083.725899436275,Month-to-month,Mailed check,No,Yes,No internet service,No,No,Yes,No,Yes,No,Yes,Yes,Yes,1
82,50,Male,3,43.28349742229629,3355.442801105496,One year,Electronic check,DSL,No internet service,No,No,Yes,Yes,No internet service,Yes,No,No,No,No,0
83,67,Male,1,78.58746565913006,3170.198709196604,Month-to-month,Mailed check,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,No,Yes,No,Yes,No phone service,1
84,37,Male,4,42.02411929682688,2134.296497247793,Month-to-month,Electronic check,No,No internet service,No,Yes,No internet service,No internet service,No internet service,Yes,Yes,Yes,Yes,Yes,1
85,32,Male,5,78.32625001818424,,One year,Credit card,No,No,No internet service,Yes,Yes,No internet service,Yes,Yes,No,Yes,Yes,No,0
86,37,Female,10,74.25182585707903,2554.057771115907,Month-to-month,Mailed check,No,No,No internet service,Yes,Yes,Yes,No,No,No,No,Yes,Yes,0
87,58,Male,5,30.483865424188068,1138.2969297437419,Month-to-month,Mailed check,DSL,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,1
88,49,Male,7,51.4487069532869,2030.0314791640822,Two year,Electronic check,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,Yes,No phone service,0
89,37,Male,0,88.88218806094744,-152.38354460918026,One year,Electronic check,DSL,Yes,Yes,Yes,No,Yes,No internet service,No,Yes,Yes,Yes,No,1
90,52,Male,3,45.37668937720637,2876.4556455029356,Month-to-month,Bank transfer,No,No internet service,No internet service,No,Yes,No,No,No,Yes,Yes,No,Yes,1
91,46,Female,0,55.711914753812245,438.5067775581406,One year,Electronic check,Fiber optic,No internet service,No,Yes,No,No,No internet service,Yes,No,Yes,No,No phone service,0
92,59,Male,1,74.24121786503792,3503.4198284289987,One year,Electronic check,No,No internet service,No internet service,Yes,No internet service,Yes,Yes,Yes,No,Yes,No,No phone service,1
93,34,Female,6,80.66781018565192,1669.8799060335496,Month-to-month,Bank transfer,No,Yes,No internet service,No internet service,Yes,No internet service,No,No,No,Yes,Yes,Yes,1
94,40,Male,24,59.969222279110085,1788.333018068823,Two year,Electronic check,DSL,No internet service,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,0
95,39,Male,0,53.049796106167165,1372.2660939154944,One year,Electronic check,No,No,Yes,Yes,No internet service,No internet service,No,No,Yes,Yes,Yes,No phone service,0
96,23,Female,2,93.44739723397015,1711.9611260779236,Month-to-month,Bank transfer,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,Yes,No,Yes,No,No,Yes,1
97,49,Male,8,99.77799327595159,3418.5313451480365,One year,Credit card,No,No,No,No internet service,No,No,No,Yes,No,Yes,Yes,Yes,1
98,48,Female,1,84.57716101563591,-487.80865653507954,Two year,Credit card,No,Yes,No internet service,No internet service,No internet service,Yes,No internet service,Yes,No,Yes,No,No,0
99,45,Female,4,66.70636285130048,3276.965386088188,Two year,Electronic check,DSL,No,No,No internet service,No internet service,No,No,No,No,Yes,No,No phone service,1
100,41,Male,6,48.834685567181474,2338.023481101708,Two year,Electronic check,Fiber optic,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,0
101,23,Female,4,48.39111186886869,792.9783521427844,Month-to-month,Bank transfer,DSL,No,Yes,No,No internet service,No internet service,No,No,Yes,Yes,No,No phone service,1
102,38,Female,1,75.45028210531515,924.6876069507621,Month-to-month,Bank transfer,No,Yes,No internet service,No,Yes,Yes,Yes,No,No,No,No,No,1
103,39,Female,2,73.36796441777368,3676.393027208203,Two year,Credit card,DSL,Yes,No internet service,Yes,Yes,No internet service,Yes,Yes,Yes,No,No,No phone service,0
104,32,Female,7,93.03197185892859,1054.4931200572687,Month-to-month,Mailed check,DSL,Yes,Yes,No internet service,No internet service,No,Yes,No,No,Yes,No,No phone service,1
105,42,Female,4,78.00900185072278,846.6494894040407,Two year,Electronic check,DSL,Yes,No internet service,No internet service,Yes,Yes,No internet service,No,No,No,No,No phone service,0
106,51,Female,0,34.93839396480364,3137.3145423647293,Month-to-month,Mailed check,DSL,No internet service,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,1
107,73,Female,7,86.03895235445837,2338.5528762859144,Two year,Mailed check,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,1
108,47,Female,0,45.03878745371174,1062.0744234636013,One year,Bank transfer,No,No,No,Yes,Yes,Yes,No internet service,Yes,Yes,No,No,No phone service,0
109,48,Male,6,57.32057456095297,2216.624975404619,Two year,Electronic check,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No phone service,0
110,43,Male,1,70.00400412503389,974.2473163597226,Two year,Electronic check,DSL,No internet service,No,No,Yes,No,No,No,Yes,No,Yes,No,0
111,16,Female,15,104.9133497956793,3100.821398422605,Month-to-month,Bank transfer,DSL,No internet service,No,Yes,No,No,No internet service,Yes,Yes,No,Yes,Yes,1
112,44,Male,2,127.19837112010723,3061.3709648731337,Month-to-month,Mailed check,Fiber optic,No internet service,Yes,Yes,No internet service,No,Yes,No,Yes,No,No,No,1
113,45,Female,1,77.13446118272365,2532.006198821943,Month-to-month,Bank transfer,DSL,No,No,Yes,Yes,No internet service,Yes,Yes,Yes,Yes,Yes,No phone service,1
114,81,Female,0,61.33606762559224,2361.6610612470167,Month-to-month,Credit card,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1
115,42,Male,1,75.69011296961101,3761.1881248673735,Month-to-month,Electronic check,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,1
116,49,Female,10,82.75310851747672,1999.6863273882252,Month-to-month,Credit card,Fiber optic,Yes,Yes,No internet service,Yes,No,No internet service,No,Yes,No,No,Yes,1
117,44,Female,28,58.586647488856165,818.1258745791988,One year,Bank transfer,DSL,No,No internet service,No internet service,Yes,Yes,No internet service,No,Yes,Yes,No,No,0
118,27,Female,2,100.90422711824644,2449.4739128323067,Two year,Electronic check,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,Yes,No,No,Yes,No,0
119,62,Female,2,69.60141518382804,4086.0470495371137,Two year,Credit card,No,No internet service,No,No internet service,No internet service,Yes,Yes,No,Yes,Yes,Yes,No,0
120,56,Male,6,74.95486178182789,985.2405068141479,Two year,Credit card,DSL,No internet service,No internet service,Yes,No internet service,Yes,No internet service,No,No,No,Yes,No,0
121,56,Female,10,78.31848504108923,1638.5372333060143,One year,Mailed check,No,Yes,Yes,Yes,No,No internet service,Yes,No,Yes,No,No,No phone service,0
122,31,Female,4,73.43173221228912,2416.446038101453,Two year,Electronic check,No,No,No internet service,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,1
123,66,Female,2,81.77881000939225,1946.0951509942608,One year,Credit card,Fiber optic,No,No,Yes,No,No,No internet service,Yes,Yes,Yes,No,No phone service,1
124,23,Male,2,52.65493626906154,1017.6964196226854,One year,Credit card,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,0
125,53,Female,5,53.833964921079385,3121.857856230471,One year,Mailed check,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,Yes,No,0
126,77,Male,0,42.996915340566105,4320.040722017259,Two year,Credit card,No,No internet service,Yes,No internet service,No,No,No internet service,No,Yes,No,No,No phone service,0
127,30,Male,4,73.79002461240452,2196.131459023907,One year,Credit card,No,No internet service,Yes,Yes,No internet service,No,No,No,Yes,Yes,No,Yes,0
128,36,Female,2,80.57873007024229,1095.9317102639998,Two year,Credit card,Fiber optic,No internet service,No,Yes,No,No,No internet service,No,Yes,No,No,Yes,0
129,46,Female,7,74.15545732303772,451.03947494652493,Two year,Mailed check,No,Yes,No,No internet service,Yes,Yes,No,Yes,No,Yes,Yes,No,0
130,37,Male,0,98.48984866695075,2257.975981221181,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,Yes,No,Yes,No,No,1
131,21,Female,4,64.88807962341907,3103.877343316258,Month-to-month,Credit card,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,No,Yes,Yes,Yes,No,1
132,46,Male,3,78.37483311185025,2475.167746495382,One year,Electronic check,DSL,No internet service,No internet service,Yes,No internet service,No,No internet service,Yes,No,Yes,No,No,0
133,29,Male,5,43.16598247721372,1997.5961590811462,One year,Electronic check,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,No,No,Yes,Yes,Yes,0
134,52,Female,0,57.25800595051198,1410.7283482106939,Two year,Mailed check,DSL,No,No internet service,No,No,Yes,No internet service,Yes,No,No,No,No phone service,0
135,31,Female,4,78.91075515131556,907.8363672819103,One year,Bank transfer,DSL,No internet service,Yes,No internet service,No,No,No internet service,Yes,No,Yes,Yes,Yes,0
136,68,Male,4,81.98204221486287,2834.751326324882,One year,Electronic check,Fiber optic,No internet service,No,No,No internet service,No,No,Yes,Yes,No,Yes,No phone service,1
137,33,Male,4,59.12066104671636,2913.7716213855856,Two year,Mailed check,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,0
138,40,Male,4,63.56801496283866,454.27021330926686,One year,Credit card,DSL,No internet service,No internet service,Yes,Yes,No,Yes,No,No,No,No,No,0
139,57,Male,5,34.64252506638381,3589.8389781806836,One year,Credit card,DSL,No,Yes,No internet service,No,No,No internet service,No,No,Yes,No,No phone service,0
140,26,Female,8,57.85941598386781,2574.0712208940013,Two year,Mailed check,DSL,No,Yes,Yes,No,No internet service,No,Yes,No,Yes,No,No,0
141,48,Female,1,82.80766327039572,3399.5946451457935,Two year,Credit card,No,No,No internet service,No internet service,No internet service,No,No internet service,No,Yes,Yes,Yes,Yes,0
142,64,Female,8,76.50410032213132,657.872251514885,Month-to-month,Credit card,DSL,Yes,No internet service,Yes,No,Yes,No internet service,No,Yes,No,No,No,1
143,20,Female,3,75.0133144276242,634.1758445845612,Two year,Bank transfer,No,Yes,No internet service,Yes,No,No internet service,No,No,No,No,Yes,No,0
144,47,Female,0,65.9954737436192,1851.0306902327031,Month-to-month,Credit card,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No internet service,No,No,Yes,No,No,1
145,48,Male,0,65.14126317256353,2502.784426895194,One year,Electronic check,Fiber optic,No,No internet service,No internet service,No internet service,No,No,Yes,No,Yes,Yes,No,0
146,56,Female,2,51.793577210531055,3796.360822926964,Two year,Credit card,Fiber optic,,No,Yes,No,No internet service,No,Yes,No,Yes,Yes,Yes,0
147,26,Female,7,78.9765684040507,2706.0789138151313,Two year,Mailed check,No,No internet service,Yes,No internet service,Yes,No internet service,Yes,No,Yes,No,Yes,No phone service,0
148,25,Female,6,73.4194588877878,1757.3187231879667,Two year,Bank transfer,DSL,No internet service,Yes,Yes,No,No internet service,Yes,Yes,Yes,Yes,No,No,0
149,52,Female,7,74.84037695985599,973.6307923341078,One year,Credit card,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Yes,Yes,No,No,No,0
150,49,Female,3,54.47930314664839,3230.00057271915,Month-to-month,Mailed check,DSL,No internet service,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
151,48,Male,2,21.933141602575112,1035.2945742492852,One year,Electronic check,DSL,No internet service,No,Yes,Yes,No,No internet service,Yes,Yes,No,Yes,Yes,0
152,50,Male,0,86.94305423507392,3628.4685547723216,One year,Credit card,DSL,No,No,Yes,No internet service,No,No internet service,Yes,Yes,No,Yes,Yes,1
153,34,Male,1,55.42325087983192,1715.6153503934906,Two year,Bank transfer,No,No internet service,No internet service,No,No internet service,No internet service,Yes,No,No,No,Yes,No,0
154,48,Female,2,47.74448471913759,3590.5820726178504,Month-to-month,Credit card,Fiber optic,No,Yes,No internet service,No internet service,No,No,Yes,No,Yes,Yes,No phone service,0
155,49,Male,0,78.86957823827987,2678.9312900592786,One year,Mailed check,DSL,Yes,No internet service,Yes,No,Yes,No,No,Yes,No,No,Yes,0
156,34,Male,1,57.15974720161741,1863.0045105575418,Two year,Bank transfer,Fiber optic,No internet service,No,No,No internet service,No,No,No,Yes,Yes,Yes,Yes,0
157,72,Female,4,86.19872768093244,1480.6036281738734,One year,Credit card,No,Yes,No internet service,Yes,No internet service,Yes,No,No,Yes,No,No,Yes,1
158,52,Female,6,77.34011899153396,1659.0921226539201,One year,Electronic check,No,No,No internet service,No,No,Yes,No internet service,Yes,No,Yes,No,No phone service,1
159,27,Female,32,78.67138646400954,2428.3166923752374,Two year,Bank transfer,DSL,No,Yes,Yes,No,No,No,Yes,No,No,No,No,0
160,54,Male,13,37.68088577598931,2077.1564962177167,Two year,Electronic check,No,Yes,No internet service,Yes,Yes,Yes,No,Yes,No,No,Yes,No,0
161,30,Male,5,89.23887970772802,1406.188591931295,Month-to-month,Mailed check,Fiber optic,No internet service,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,1
162,56,Female,2,70.22501062467713,1834.3685896823677,One year,Credit card,DSL,No internet service,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,0
163,62,Female,5,57.61445721507594,2078.57702971915,Two year,Electronic check,DSL,,No internet service,No internet service,No internet service,Yes,No internet service,No,No,No,Yes,No,0
164,32,Male,7,67.86776934684502,-128.73409441481226,Two year,Mailed check,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,No,Yes,No,No,Yes,0
165,59,Male,0,29.475295342033604,2458.168114788699,Month-to-month,Credit card,DSL,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No phone service,1
166,51,Female,2,73.17305622961342,1020.2787752831932,Month-to-month,Mailed check,DSL,No internet service,No,No internet service,No,No internet service,No internet service,No,No,No,No,No phone service,1
167,57,Female,9,44.41256983635857,846.6675967942549,Two year,Electronic check,Fiber optic,No internet service,No,No,No internet service,Yes,Yes,No,No,No,Yes,No,0
168,73,Male,2,37.946594283129315,312.65565288928974,Month-to-month,Mailed check,DSL,No internet service,Yes,No internet service,No internet service,No,No internet service,No,No,Yes,Yes,Yes,0
169,41,Female,4,34.55281627564218,206.10750213210963,Two year,Bank transfer,DSL,Yes,No,Yes,No internet service,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
170,33,Male,4,87.2537674997985,644.5524968877107,One year,Credit card,Fiber optic,No internet service,No,No internet service,No internet service,No,No,No,Yes,Yes,Yes,No,1
171,31,Male,1,52.41473212614423,1290.9790423695094,Month-to-month,Mailed check,No,No,No,Yes,No,No internet service,Yes,No,Yes,No,Yes,No phone service,0
172,32,Male,2,95.67455419832999,3953.2591375265683,One year,Electronic check,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,Yes,Yes,No,Yes,No phone service,1
