Transaction_ID,Date,Time,Merchant_ID,Customer_ID,Device_ID,Transaction_Type,Payment_Gateway,Transaction_City,Transaction_State,IP_Address,Transaction_Status,Device_OS,Transaction_Frequency,Merchant_Category,Transaction_Channel,Transaction_Amount_Deviation,Days_Since_Last_Transaction,amount,fraud
T00049751,17/02/24,10:38:57 AM,53a865e8-635e-458a-b90c-554ce417eaff,7cc954de-18ec-400a-883e-b64f60604a88,30530400-527f-4c80-8a19-836c69926ea8,Subscription,Bank of Data,Bhopal,Tripura,154.27.254.242,Pending,Android,3,Travel bookings,Mobile,-32.66,6,340.67,1
T00004744,16/06/23,4:27:07 AM,71fc9f0c-47d3-491a-bace-19fd038a414e,c5ee3d33-6261-440e-bd1e-605defa3f63f,eab975d0-917b-49d7-bf61-0b3ee9b64ece,Purchase,Alpha Bank,Loni,Arunachal Pradesh,50.120.68.253,Completed,iOS,0,Travel bookings,Mobile,22.62,6,22.43,1
T00012215,06/10/23,5:31:53 AM,8bcc551e-d13c-4ca5-a5ae-dfd26be53100,3e836573-1478-4cca-abc3-5a2402d4cd9a,7f8c832b-5197-4eb2-85fe-b20246ef503d,Investment,CReditPAY,Panipat,Assam,114.120.46.73,Failed,Windows,0,Brand Vouchers and OTT,In-store,17.48,5,266,1
T00006327,12/12/23,3:40:44 AM,23d7cce4-17df-47af-be34-6274f2b74dc6,03347edf-596b-421f-9e7d-d3fe93c08989,8c05e853-abbb-4746-9992-f6e3d77bc587,Bank Transfer,UPI Pay,Sonipat,Rajasthan,151.154.19.213,Completed,Windows,1,Investment,Online,41.67,11,272.16,1
T00032232,12/01/24,10:58:15 AM,108945b4-fc0d-4974-955c-5e20326849fe,d8382e64-e2c3-434f-8165-796c0e2df486,ffe38b3d-c864-4766-9254-e6190148c181,Bank Transfer,CReditPAY,Patiala,Chhattisgarh,126.160.82.99,Failed,Android,1,Utilities,In-store,-4.84,15,255.63,1
T00021790,14/09/23,7:20:44 AM,64645a83-625b-4e3e-8d5c-86320f9c5159,d3c8a0be-73e7-4e60-9791-76594124b5cb,8c8780af-4e62-420c-9047-ad17c9ac75f3,Other,UPI Pay,New Delhi,Gujarat,3.90.248.153,Completed,MacOS,0,Investment,In-store,10.91,24,620.64,1
T00047650,20/12/23,1:11:44 AM,3d6ec41a-93d1-4d95-9f46-4f5bb19218d9,6c2a3817-9284-41ea-bffe-6d12e8d18999,d1fd67ec-8b8c-4650-b21a-89f306ba403b,Subscription,Dummy Bank,Siwan,Tamil Nadu,119.84.252.95,Completed,MacOS,4,Utilities,Mobile,12.27,13,904.45,1
T00004102,12/06/23,1:35:38 AM,82a0ecc6-0584-4157-88a8-790f8f94da62,05d7875b-1aab-4216-9636-a0ca2c7a0ba5,cd342534-68e9-48dc-a0a9-0206dabb6454,Refund,Dummy Bank,Malda,Nagaland,199.34.177.199,Pending,Windows,1,Travel bookings,Mobile,-29.53,14,265.33,1
T00022776,06/01/24,4:59:56 AM,95c581c0-b5c0-4c06-8dae-7f7c0c8ab843,e7c89233-3f46-4593-9dea-e3b7e6880b90,782e9443-98e8-404c-95cc-b60c8d03f2bb,Bill Payment,Alpha Bank,Baranagar,Mizoram,165.44.229.97,Pending,MacOS,0,Home delivery,Mobile,57.79,7,186.8,1
T00004103,22/03/24,9:53:26 AM,4ea980f9-6804-485b-92fd-a02dea7a6439,4f673010-7a16-463a-9eda-60d76601c638,d2636fd9-9079-41a9-9429-ffb9e98ee60f,Subscription,Alpha Bank,Visakhapatnam,Kerala,159.115.114.5,Pending,Windows,2,Donations and Devotion,Mobile,21.73,23,167.27,1
T00005335,05/06/23,8:17:39 AM,66aa4d83-c53b-44ae-9711-a9e38de547bb,2a699274-d2d1-4883-a448-0bc71a91d355,76284374-19ae-452a-bc5a-ea21e33e2477,Investment,Gamma Bank,Faridabad,Sikkim,92.71.104.145,Failed,Android,2,Donations and Devotion,In-store,71.44,2,663.53,1
T00023217,08/12/23,7:13:45 AM,dc7ee69b-aced-4088-8459-249a87082532,8d59fa72-7c7a-43db-9885-7ad90f09c096,00435d44-ea4b-4a73-bd8d-5cf930a270a1,Other,Gamma Bank,Anand,Manipur,160.113.178.191,Completed,Android,20,Home delivery,In-store,48.54,17,262.63,1
T00006741,17/10/23,1:23:15 AM,58bf1277-cfb6-47d4-88db-e28a71d97c11,57ad524d-b26b-46cb-a6c7-bb7e7b77f18e,283c6392-42c3-40c2-aeae-3da65c9f8983,Refund,Other,Raebareli,Chhattisgarh,2.251.173.213,Failed,MacOS,20,Other,Mobile,79.88,23,490.84,1
T00026285,06/12/23,10:15:52 AM,3ce0f443-b84d-48fe-9ed2-d31c883ea92e,a1dbe6a9-9f47-4934-be9e-84d557171aee,69e5acf2-620b-4ef1-ac0e-9270d2ade4ab,Other,Alpha Bank,Hosur,Tripura,13.54.158.134,Pending,Windows,10,Financial services and Taxes,Mobile,85.52,3,703.95,1
T00001204,17/07/23,5:47:29 AM,1ef26598-18a5-4c28-ae6f-341190c1d932,a7289405-bbf9-4364-947f-78f6bbb20987,dc9d6f17-a9ac-441b-ac94-9884a5f4baaf,Investment,Gamma Bank,Kolkata,Gujarat,29.232.17.183,Pending,iOS,3,Investment,Mobile,52.2,29,83.07,1
T00014653,18/11/23,11:16:04 AM,1cab6739-a8b2-4062-ab58-18a6661dab4a,d0f382b5-5eb8-47d4-b226-8cb8081775ba,90c410e8-ed88-4afc-bae3-b561f1f25613,Bill Payment,Sigma Bank,Sasaram,Karnataka,169.217.180.89,Completed,Windows,2,Donations and Devotion,Online,-3.43,7,644.15,1
T00004759,08/08/23,7:26:23 AM,374665b7-2c60-41fb-9e76-fea2b44da6d5,a59ad593-2cc1-4451-bb9c-ddcf14a2e0dc,bdb22e15-7faf-4ace-9e0f-151d9fed3f2e,Refund,Bank of Data,Chennai,Tamil Nadu,83.58.191.165,Completed,Windows,0,Home delivery,Mobile,-93.81,28,388.51,1
T00038517,11/09/23,5:46:48 AM,db8a84d1-cd4c-40af-8b32-b294a2002370,bf90868c-8149-4ec4-af11-2de62854a959,03f19362-42ca-42b8-8b94-ad99a68c9869,Investment,Gamma Bank,Burhanpur,Mizoram,98.103.86.192,Pending,Android,2,Brand Vouchers and OTT,In-store,91.76,16,217.52,1
T00012636,24/03/24,4:02:22 AM,c645c85f-5982-4aa6-9211-ab286d5be395,836372d9-bd36-44fa-80c8-769f1d50ecf3,24899d75-777c-4245-9c00-3ce5af4f38ff,Subscription,Other,Bidar,Haryana,121.227.239.121,Completed,iOS,4,More Services,Mobile,52.24,7,259.75,1
T00013575,16/04/23,6:45:20 AM,e65ba72c-effd-4545-a007-487546d55923,6430edea-02f1-455b-9c90-45b6c14e5e4e,dca340ad-8411-405f-a813-7a714f4e9550,Subscription,Bank of Data,Jodhpur,Arunachal Pradesh,60.132.3.127,Pending,iOS,30,Travel bookings,In-store,39.2,7,278.32,1
T00030879,22/11/23,2:07:45 AM,4fec7355-73c7-4810-8f46-26ff86da87d0,76c58c6e-5f0d-48f9-8778-a5dea1d925e6,6e0fee0d-660f-49fe-938d-b04e0a57dce9,Refund,Dummy Bank,Pune,Himachal Pradesh,35.130.81.163,Pending,Android,0,More Services,Mobile,0.92,27,177.99,1
T00049450,26/03/24,3:02:13 AM,7f04032d-ad04-4bd8-8446-19b7d3d767ed,1002125a-c269-4d40-bfc3-a01c88049ce5,8ae93eef-8361-4a32-896b-4de29d3971bb,Subscription,Gamma Bank,Miryalaguda,Meghalaya,188.149.22.170,Failed,Android,3,Utilities,Mobile,13.72,9,728.96,1
T00018140,07/09/23,8:58:45 AM,19d0c17f-1137-42a9-a1c5-83c68d6239e1,a4f112cf-36de-4d9d-903b-80ee2416a1f5,7aa11efb-be81-42d5-8e88-003bedaab379,Bill Payment,SamplePay,Mathura,Gujarat,220.50.149.35,Failed,Android,0,Investment,Online,26.66,18,830.57,1
T00027299,18/06/23,5:01:28 AM,67e6bc60-256e-472d-9ee8-edd6b61e3111,7cfa4cb5-015d-4550-8c81-fdfa35bb504e,3dfc130a-1030-44ca-92b2-cb7a4e983628,Other,Other,Sambalpur,Maharashtra,108.237.53.86,Pending,Windows,2,Investment,Online,54.27,26,399.81,1
T00020463,31/03/24,5:33:27 AM,e8dd40f5-a697-434b-9ccc-7a8e89d67b98,94912ed7-43ca-469e-b337-0211396b3853,d4cf639f-5224-4ca8-836b-f87d635c204f,Subscription,Other,Thane,Telangana,49.133.231.245,Completed,Windows,0,Financial services and Taxes,In-store,-66.91,7,278.2,1
T00026101,08/11/23,6:22:23 AM,c69bd170-1891-46fb-bb83-5fda828f759d,1ee27078-97b6-451d-a001-7333304b4eea,0a12cca6-f6db-4a2b-b678-cf078c032fda,Other,SamplePay,Secunderabad,Andhra Pradesh,170.84.65.72,Completed,Android,1,Brand Vouchers and OTT,In-store,-5.65,14,458.52,1
T00042199,23/01/24,1:09:56 AM,fc5d1ad7-4160-4417-ad66-f5cf7ca1f8c7,e45e068d-59ab-4d35-a03c-04b9adeb59e4,dffd7418-1187-4732-befc-1855b0393771,Bank Transfer,CReditPAY,Navi Mumbai,Himachal Pradesh,37.190.62.167,Pending,Windows,3,Utilities,In-store,-44.2,8,134.91,1
T00039083,03/06/23,12:15:32 PM,cbc5438f-dd3d-4c71-be50-d6285c803b68,01ec42f1-77fe-472c-8fa8-b0d9c067cc16,cff62387-caae-4836-9c0a-af88dba55e35,Bank Transfer,Sigma Bank,Noida,Uttarakhand,170.170.4.61,Failed,MacOS,2,Utilities,Online,-59.44,17,112.06,1
T00035032,16/09/23,5:46:20 AM,c9137385-56b8-4fa8-bbfe-7baa5fad02d8,5a050ce1-236d-41e5-86a5-f61deb47de39,e2654ee5-d9b7-41b3-84e9-c5c11fee2ebd,Purchase,Sigma Bank,Ramagundam,Manipur,122.224.157.96,Completed,MacOS,0,Travel bookings,In-store,14.18,6,109.52,1
T00025792,20/10/23,2:14:02 AM,63ead6ff-b6c4-4560-985e-0cde77a6a105,88b63964-c0e8-424e-9c4b-bbe216d37659,edc35711-a074-4ff0-a975-91146402ae96,Other,UPI Pay,Raurkela Industrial Township,Odisha,153.8.220.31,Pending,iOS,40,More Services,Mobile,25.79,11,242.5,1
T00043571,23/04/23,6:07:32 AM,3e750cdc-e5b3-4906-ad3f-a2ef760c5d0b,4e6f2407-2cb2-4df3-863d-549c0b300426,5f3a3323-2fb1-47be-ba59-a2afa741e7ed,Investment,SamplePay,Gorakhpur,Uttar Pradesh,179.199.141.90,Pending,Windows,30,Brand Vouchers and OTT,In-store,-68.58,11,231.33,1
T00049721,11/11/23,4:35:20 AM,703a0275-5988-4039-ae0f-c10900acb966,bff463fe-9204-4566-9cce-89a0769bdcc8,7ce79658-c1aa-4922-a23e-df532bd38158,Bill Payment,SamplePay,Dhanbad,Bihar,205.101.212.217,Failed,MacOS,3,Donations and Devotion,Online,-47.85,4,50.17,1
T00041830,25/10/23,8:37:42 AM,99f14212-90e0-4f8c-9775-71f52cb597e9,2e8de759-38bf-4869-ad45-00a7a9907acc,893a9fa5-3c61-4737-b209-59ca2c81ece7,Bank Transfer,Sigma Bank,Ajmer,Gujarat,198.50.89.188,Failed,Windows,4,Home delivery,In-store,-43.63,6,321.61,1
T00030027,02/12/23,2:40:35 AM,7642255a-c417-43f3-a70d-b5ba19300be3,18211f6b-0ea0-4cfb-9b94-9e955380d815,ef469eff-c94e-467b-9014-2d03ca7071b4,Refund,Other,Latur,Maharashtra,166.74.210.83,Pending,Android,4,Investment,Online,-63.97,27,291.98,1
T00016256,22/10/23,6:31:14 AM,51b5ee7b-3609-4ae5-828a-e26d6ff65d13,22c54acc-0c07-4534-a4d5-ef9767722e3c,60a257a7-e821-4026-a798-63179ab6060e,Refund,Sigma Bank,Nanded,Rajasthan,167.246.250.188,Failed,Windows,3,Financial services and Taxes,Mobile,-64.3,27,42.08,1
T00023946,13/02/24,9:02:20 AM,b4b6eb0d-b6f7-4ed1-adbd-a6b865ad9e2e,fb408953-a422-4cc6-98cf-7864df8e7da5,710474f1-2613-42c6-b56b-ddd48cb57268,Refund,Sigma Bank,Meerut,Sikkim,144.9.59.104,Pending,iOS,2,Purchases,In-store,-84.17,9,196.12,1
T00005665,05/01/24,2:26:40 AM,d401674d-f48b-469c-9012-4960b803909c,3270ae00-c5e8-4cce-8bc5-a0093b71b017,1e20df5d-0e65-4842-b510-5bcd051fa9bd,Subscription,SamplePay,Satna,Goa,65.34.218.76,Failed,Android,8,Brand Vouchers and OTT,Online,-53.74,26,503.68,1
T00012199,06/04/24,2:16:15 AM,78f6a3ce-b95c-4a84-98bd-7733e0bb865c,d5ab7e7d-2b69-4e90-82ba-036b1fc40938,bd45d094-1609-47c8-bc06-96fb84845b88,Subscription,SamplePay,Vijayawada,Odisha,152.145.0.137,Failed,iOS,3,More Services,In-store,-31.84,14,127.28,1
T00023417,09/12/23,12:45:05 PM,27aa23c3-17d8-466f-939c-8ba9c096bc40,a30fe98e-c577-4da3-80d8-199377b40373,eab3eaf7-27b1-4432-b9c2-88814e2116b6,Bank Transfer,SamplePay,Nagaon,Maharashtra,37.177.51.30,Failed,Windows,10,Home delivery,Mobile,74.42,2,378.11,1
T00018494,23/10/23,1:47:18 AM,b1ec1ef5-5fc5-45de-91d4-4f5ee232b858,95585e31-96af-4c72-aa3a-57fc2ecd7e39,cfe2b7f5-22fd-4baf-9be4-eb3168a62f2c,Subscription,Other,Ulhasnagar,West Bengal,137.205.139.78,Completed,Windows,4,Home delivery,Mobile,-10.54,21,672.44,1
T00040239,19/03/24,2:56:34 AM,23f63841-ebb5-490a-8e1c-9b583e2ca239,cd72fcf7-6564-401e-9cfc-083250cddb9a,0992b2f8-974b-4c69-a0b1-3bc30bd776f5,Refund,UPI Pay,Jehanabad,Jharkhand,4.18.69.166,Completed,MacOS,0,Purchases,Mobile,68.54,11,386.87,1
T00032776,14/03/24,1:25:54 AM,fb69a6a0-b3f4-4fa4-bca7-28fe6f497f56,84b6b19c-d7f4-4262-8ea5-abb1bc806d13,22276cd5-93c6-42d5-94af-2b53d17cd565,Other,UPI Pay,Surat,Maharashtra,155.153.20.79,Pending,MacOS,2,Donations and Devotion,In-store,87.96,4,10.99,1
T00040506,29/08/23,6:47:27 AM,07c9d2fc-5903-4660-a762-448ba00d69be,91f8096d-7a1d-49a7-89f9-db5d6be2ca44,ad4e0ae5-bf71-4fa0-aa28-76c32c2d9b44,Bill Payment,Dummy Bank,Kirari Suleman Nagar,Goa,157.199.255.230,Failed,MacOS,1,Purchases,Mobile,99.28,28,466.47,1
T00029203,04/04/24,7:33:15 AM,f6384eff-3182-4e09-b22b-3ba53508aa8c,37866c6b-13d9-46e3-b764-0321237a70f6,ede4e49e-872c-4cea-9f74-4d61e862c816,Other,CReditPAY,Berhampur,Sikkim,103.31.132.210,Pending,iOS,10,Other,Mobile,67.43,20,314.96,1
T00016323,01/01/24,5:47:05 AM,e36bbdd5-f2e2-4693-af6f-35eaf01a28ee,1ac3dfa1-c6f5-4172-93c8-3ce570ebc10f,c966eba6-6ff1-4a2a-a0a7-36f5ddac7935,Refund,Alpha Bank,Nizamabad,Punjab,35.46.46.86,Failed,Windows,1,Financial services and Taxes,Online,-90.71,14,241.47,1
T00039353,01/04/24,6:53:35 AM,f6da554b-426d-4b26-8df4-648632807ceb,b31e2f0e-e43d-49b5-8cfd-9ddb13e7952a,a3fb634f-de45-4b84-814c-dd37ad66d092,Investment,Gamma Bank,Noida,Mizoram,19.74.0.41,Completed,Windows,0,Investment,In-store,-6.8,8,396.92,1
T00040507,29/04/23,10:34:38 AM,22198b06-ac35-43d8-8c46-4ee2cf9b3145,72725646-b3cb-4e48-bb63-08936bb04c40,a57e0de5-b923-4626-a98d-45647dc1cd80,Refund,Alpha Bank,Begusarai,Nagaland,207.168.87.93,Pending,Android,1,Brand Vouchers and OTT,Mobile,96.6,13,265.75,1
T00043774,17/03/24,3:45:33 AM,d2f8d4af-d358-4317-8c3e-777b0916ad75,4fa154a7-c163-4f47-9e6e-edfac1a27bd6,4dc16bb1-d08f-4110-9d27-b9ec973c2001,Investment,Dummy Bank,Shivpuri,Bihar,185.148.90.94,Failed,Windows,2,Investment,In-store,35.17,9,299.42,1
T00001984,13/07/23,4:00:55 AM,6cd0e46c-66bc-4575-80ce-9cd92c145952,5c187acb-afd6-402f-8c14-244f05004aec,e2094758-3dc4-4906-8fc7-8a5151bd7eab,Bill Payment,UPI Pay,Bangalore,Chhattisgarh,77.224.30.207,Completed,Android,2,Brand Vouchers and OTT,In-store,-26.45,29,66.6,1
T00048408,03/04/24,6:07:06 AM,8259a251-7c7d-4722-8e05-c9df9c944c54,709d6766-a592-49ee-afb4-42eab87a244c,ef19fc27-b484-4624-b919-a8535c39a27d,Other,UPI Pay,Deoghar,Chhattisgarh,147.43.70.13,Failed,Windows,3,Other,In-store,-86.31,9,907.57,1
T00002020,27/12/23,5:32:09 AM,b58fdf67-52f0-4dae-9482-f195305adaf8,b4933790-1b60-4c19-a276-83ed1b1ab828,633350fe-4160-425b-8264-af8b6ce7ba25,Bill Payment,CReditPAY,Bathinda,Maharashtra,19.4.221.242,Completed,Android,1,Financial services and Taxes,In-store,-89.68,16,398.57,1
T00001985,22/11/23,5:15:49 AM,fab09130-2d26-408b-a376-b80f8bf567bc,703ad165-3776-4dfb-83cc-960778c14327,7f31e17d-7c31-4003-a6af-acf831c181f8,Other,CReditPAY,Jehanabad,Kerala,89.54.3.155,Pending,Android,1,More Services,Mobile,-41.2,26,189.22,1
T00002415,18/03/24,11:45:43 AM,aa8554a2-b5f7-4cd8-83b6-699746788739,bade21df-7718-4f21-a24d-7868462f4f6f,e66022cc-b264-4c96-85ea-8dbd8b0b9fba,Purchase,SamplePay,Chennai,Mizoram,217.158.177.103,Pending,Windows,1,Utilities,In-store,98,9,142.86,1
T00044627,09/05/23,4:37:30 AM,7d535ab8-dce2-4645-9ba6-f5e1c3329bd9,f3f5076d-fe2f-4b14-8bcb-99b425b1e6ec,c4889355-6ad4-4a0e-bd5e-09972d0c9acf,Bill Payment,CReditPAY,Sonipat,Karnataka,30.162.193.189,Completed,iOS,4,More Services,Online,-23.87,5,329.89,1
T00027004,06/12/23,6:04:47 AM,f90dde6b-f1ba-4361-8679-d729b5030346,554802c8-df42-464e-bda8-360fb745c143,f55622ec-6373-40e6-a40a-d4a14e6ae110,Other,SamplePay,Raichur,Uttarakhand,213.249.187.2,Failed,Android,0,Utilities,Online,-27.63,24,442.9,1
T00032497,13/06/23,5:12:52 AM,48af9f99-0862-4b71-bfe3-aa2601649622,d2b1c294-fb54-4c02-b0f8-a019b2199c5e,15d194ff-e27f-4841-9d2c-ee72fefb5ec9,Subscription,Bank of Data,Kamarhati,Bihar,147.104.247.240,Failed,Windows,5,More Services,Online,-43.47,24,239.62,1
T00019022,05/10/23,1:43:56 AM,86a24e63-92a7-4e34-a70f-a6e62ae33642,729a2db6-bffe-4f42-bc81-0bee55e8f6b2,074063ea-3758-48d3-b8fd-ab0559636436,Subscription,Bank of Data,Kottayam,Chhattisgarh,212.159.178.15,Completed,MacOS,0,Financial services and Taxes,In-store,-60.43,21,284.46,1
T00010864,13/10/23,3:41:55 AM,ab821d54-860c-439b-b5c9-45d2b19d1fc9,f40cab69-20ca-4aee-be4a-9706423d9246,322587b6-8679-4a3b-bebc-68249d2bd675,Bill Payment,Bank of Data,Bhatpara,Madhya Pradesh,5.86.12.17,Completed,Android,3,Brand Vouchers and OTT,Mobile,54.53,5,430.29,1
T00025412,08/10/23,10:25:51 AM,56ebe5e0-995d-4005-83c6-07b6e91c790b,1084d8aa-0091-4484-a140-0a9a453e6f37,7dc2a0de-9c95-4987-8bbe-28d513dae7fd,Purchase,Bank of Data,Moradabad,Punjab,50.165.110.31,Pending,Android,1,Travel bookings,Mobile,98.72,24,769.16,1
T00012841,26/12/23,11:12:34 AM,3e7c4c4f-3f6a-45f5-8701-9db5ec9d69bb,6e35156a-c2b6-4505-b3d0-129a2ce171a7,dbfce9ab-26a3-4fb4-8afd-eda08cd3e7f1,Purchase,Bank of Data,Latur,Andhra Pradesh,75.210.116.92,Completed,iOS,1,Travel bookings,In-store,46.54,25,157.03,1
T00030026,21/02/24,10:35:26 AM,5ebc94f7-272d-4e66-8147-292184e311ee,130185ac-37ab-4e7a-b0bc-889da1e7623e,4cdf012c-c871-4b26-ae8f-e9693f01c79b,Subscription,CReditPAY,Amritsar,Himachal Pradesh,41.54.158.214,Completed,Android,2,Investment,Online,-31.33,14,102.64,1
T00016302,25/12/23,8:15:34 AM,8cfa57b5-6722-4106-adf4-b9ff3f7231cf,94422aef-eae7-45e5-80d3-9f4254c1bb48,ee5bd071-13dc-4929-bd4e-9378d232661b,Investment,Dummy Bank,Panchkula,Uttar Pradesh,58.207.6.83,Failed,Android,2,Utilities,Mobile,-59.67,24,614.25,1
T00012637,14/04/23,8:32:14 AM,cfc61430-ae39-45b9-9548-c5ecc3e9679a,564ad915-4fc8-4ecb-b54a-ee9bfd1be0cd,1839b434-13a3-4dfc-bb62-84db84813c7d,Investment,CReditPAY,Hindupur,Arunachal Pradesh,78.97.14.61,Failed,iOS,2,Brand Vouchers and OTT,Online,58.63,2,261.99,1
T00023779,07/03/24,3:51:24 AM,75b02443-c1fe-49aa-b983-12769887860b,71d3d9e1-54e2-44cc-ad37-9df0881547c8,4cfe3a9f-a622-4793-ba3b-bb2b1fed381b,Bank Transfer,Alpha Bank,Bahraich,Bihar,19.118.99.115,Completed,Android,1,Financial services and Taxes,Online,-46.28,21,555.92,1
T00023780,24/08/23,11:25:07 AM,c2d49c66-edaf-4a4e-b7da-201d724923ef,3e42b4b7-cf9b-455d-be26-e682bba2538a,07d495d3-b362-40da-8c29-9fb9064abf3c,Bank Transfer,Dummy Bank,Chinsurah,Tamil Nadu,74.34.177.245,Pending,MacOS,1,Purchases,In-store,-23.22,17,324.95,1
T00008121,05/08/23,12:17:20 PM,466d17b6-d335-458c-a8b3-9b583f856812,d2c0501a-f68c-488f-ac95-4325e8332e13,698d8ca2-64b1-4d03-824f-4a1f0e11f893,Refund,CReditPAY,Bangalore,Telangana,112.44.115.219,Pending,MacOS,10,More Services,In-store,75.1,11,226.78,1
T00046928,20/06/23,7:41:48 AM,f2c97873-6c3e-4564-b526-569eccdb1c48,372f4253-9222-4546-9d94-a0124a888ab6,bee66b01-e66c-4178-8e09-24abf5ae7f73,Investment,Alpha Bank,Dewas,Manipur,111.173.148.33,Pending,Android,1,Other,Mobile,45.53,26,334.25,1
T00037502,08/10/23,1:53:30 AM,9e7c091f-2cd0-42ab-abe4-51a98383cacd,2d051b5a-97c2-4265-9e2b-120027c7a76d,6ac8caba-6676-4286-86f3-0680326aee17,Refund,Sigma Bank,Kottayam,Punjab,105.154.177.137,Failed,iOS,1,Donations and Devotion,Online,-78.37,20,204.31,1
T00047865,14/07/23,5:05:13 AM,fc8d1d76-1d57-4825-a114-da045380280c,9e99ad64-1d71-4ad7-8ccf-0baf47cc2db3,a687735a-f8cb-493e-b901-e5661945f5de,Bank Transfer,CReditPAY,Pimpri-Chinchwad,Jharkhand,149.18.63.230,Pending,Windows,3,Brand Vouchers and OTT,In-store,40.99,29,67.21,1
T00003272,16/01/24,7:55:37 AM,9ca207ad-c6d5-4028-8877-5873a444c255,3ef157a5-a767-455d-bfc4-efde08f2e5be,1cfbb4cf-0aa3-4ff4-be56-0be0e7daa0c3,Other,Gamma Bank,Karimnagar,Assam,118.238.26.103,Pending,Android,2,More Services,In-store,96.36,24,222.26,1
T00047123,14/09/23,11:27:07 AM,bc8c53c6-320c-43e9-a28b-4493f2500b55,b455c074-88d6-4fa1-a057-a53ac618a12a,b30d38ab-d168-4411-9651-9365c2a153a9,Bank Transfer,Bank of Data,Begusarai,Mizoram,29.138.76.14,Failed,Android,0,Utilities,Mobile,-66,17,592.91,1
T00012887,12/02/24,10:50:32 AM,df675fcb-c26f-42d9-802c-8de00500b946,05106c18-7cda-4450-9499-608e4bbe81ce,b1259d1b-11b0-4fd4-8e30-6015a62f5153,Investment,Other,Loni,Karnataka,49.176.126.187,Failed,iOS,40,More Services,In-store,98.01,27,301.7,1
