,Company,TypeName,Ram,Weight,Price,Touchscreen,Ips,ppi,Cpu brand,SSD,HDD,GPU brand,os
42,Asus,Notebook,8,2.3,27864.9072,0,0,100.45466986113651,Intel Core i5,0,1024,Nvidia,Others/No Os/Linux
43,Acer,Notebook,4,2.2,36336.96,0,1,141.21199808219862,Intel Core i5,256,0,Intel,Windows
44,Dell,2 in 1 Convertible,12,2.77,53226.72,1,0,127.33567457123111,Intel Core i5,0,1024,Nvidia,Windows
45,Apple,Ultrabook,8,1.37,75604.31999999999,0,1,226.98300468106115,Intel Core i5,256,0,Intel,Mac
46,Lenovo,Notebook,4,2.2,19660.32,0,0,100.45466986113651,Intel Core i3,128,0,Intel,Others/No Os/Linux
47,Asus,Gaming,8,3.2,69210.72,0,0,127.33567457123111,AMD Processor,256,1024,AMD,Windows
48,Dell,Notebook,4,2.3,34045.92,0,0,141.21199808219862,Intel Core i5,256,0,AMD,Windows
49,Asus,Notebook,4,2.8,24828.48,0,0,90.58340172449303,Other Intel Processor,0,1024,Nvidia,Windows
50,Lenovo,2 in 1 Convertible,4,0.69,16996.32,1,1,224.17380907857276,Other Intel Processor,0,0,Intel,Others/No Os/Linux
51,Acer,Notebook,8,2.2,44808.48,0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
52,HP,Notebook,4,1.86,21231.5472,0,0,141.21199808219862,AMD Processor,256,0,AMD,Windows
53,HP,Notebook,8,1.49,58767.84,0,0,165.6321180513006,Intel Core i7,512,0,Intel,Windows
54,Acer,Notebook,4,2.4,20459.52,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
55,Dell,Notebook,8,2.13,40908.384,0,0,141.21199808219862,Intel Core i7,256,0,AMD,Windows
56,HP,Notebook,4,1.91,23389.92,0,0,141.21199808219862,Intel Core i3,128,0,Intel,Windows
57,Asus,Notebook,4,2.0,31232.203200000004,0,0,100.45466986113651,Intel Core i5,256,0,Intel,Windows
58,MSI,Gaming,16,2.43,130482.72,0,0,127.33567457123111,Intel Core i7,256,2048,Nvidia,Windows
59,Asus,Notebook,4,2.0,22111.2,0,0,141.21199808219862,Intel Core i3,256,0,Intel,Others/No Os/Linux
60,Dell,Notebook,16,2.8,69210.72,0,0,127.33567457123111,Intel Core i7,256,2048,AMD,Windows
61,Dell,Ultrabook,8,1.7,46833.12,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
62,Lenovo,Notebook,8,1.7,31914.72,0,1,157.3505121487356,Intel Core i3,256,0,Intel,Others/No Os/Linux
63,Asus,Notebook,8,1.4,50136.48,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
64,HP,Notebook,8,1.86,36763.2,0,0,141.21199808219862,Intel Core i5,256,0,Intel,Windows
65,Asus,Ultrabook,16,1.8,105654.24,0,0,141.21199808219862,Intel Core i7,512,0,Nvidia,Windows
66,HP,Notebook,4,1.86,23373.4032,0,0,100.45466986113651,Intel Core i3,0,500,AMD,Windows
67,HP,Notebook,4,1.44,12201.12,0,0,111.93520355955211,Intel Celeron Dual,32,0,Intel,Windows
68,Lenovo,Notebook,4,1.9,29250.72,0,0,141.21199808219862,Intel Core i5,0,1024,Intel,Windows
69,Asus,Gaming,12,3.0,50562.72,0,0,127.33567457123111,Intel Core i7,0,1024,Nvidia,Others/No Os/Linux
70,Microsoft,Ultrabook,4,1.252,58021.92,1,0,200.84255993695703,Intel Core i5,128,0,Intel,Windows
71,Dell,Ultrabook,8,1.4,50882.4,0,1,165.6321180513006,Intel Core i7,256,0,AMD,Windows
72,Dell,Notebook,8,2.2,46353.6,0,0,141.21199808219862,Intel Core i7,256,0,AMD,Windows
73,MSI,Gaming,8,2.7,58341.6,0,0,127.33567457123111,Intel Core i5,128,1024,Nvidia,Windows
74,Acer,Notebook,8,2.1,20725.92,0,0,111.93520355955211,Intel Core i3,0,1024,Intel,Windows
75,Asus,Gaming,8,2.2,50562.72,0,0,141.21199808219862,Intel Core i7,0,1024,Nvidia,Windows
76,Lenovo,Notebook,8,2.2,27652.32,0,0,141.21199808219862,Intel Core i5,0,2048,Intel,Others/No Os/Linux
77,Dell,Notebook,8,2.02,45554.4,0,0,141.21199808219862,Intel Core i7,128,1024,Intel,Windows
78,Acer,Notebook,4,2.2,28238.4,0,0,141.21199808219862,Intel Core i3,0,1024,Nvidia,Windows
79,HP,Notebook,8,2.5,52054.56,0,0,127.33567457123111,Intel Core i5,128,1024,Nvidia,Windows
80,Dell,Ultrabook,8,1.88,58403.4048,0,1,141.21199808219862,Intel Core i5,256,0,Intel,Windows
81,Apple,Ultrabook,8,0.92,80452.8,0,1,226.41554716935852,Intel Core i5,512,0,Intel,Mac
82,HP,Notebook,8,1.63,45820.8,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
83,Lenovo,Notebook,4,2.2,21258.72,0,0,141.21199808219862,AMD Processor,128,0,AMD,Windows
84,Acer,Notebook,4,2.1,21045.6,0,0,100.45466986113651,AMD Processor,0,1024,AMD,Windows
85,Dell,Gaming,16,2.65,71874.72,0,1,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
86,HP,Ultrabook,8,1.83,37242.72,0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
87,HP,Notebook,8,1.96,31914.1872,0,0,141.21199808219862,Intel Core i5,256,0,Intel,Windows
88,Asus,Gaming,16,2.2,77202.72,0,1,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
89,Dell,Ultrabook,8,1.21,87858.72,0,1,165.6321180513006,Intel Core i7,256,0,Intel,Windows
90,Asus,Gaming,8,2.45,37242.72,0,0,141.21199808219862,AMD Processor,0,1024,AMD,Windows
91,Acer,Notebook,8,2.2,36709.92,0,0,141.21199808219862,Intel Core i7,0,1024,Nvidia,Windows
92,HP,Notebook,16,1.49,63776.16,0,0,165.6321180513006,Intel Core i7,512,0,Intel,Windows
93,Dell,Gaming,8,2.65,63669.6,0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,Windows
94,Asus,Ultrabook,8,1.25,55890.72,0,0,157.3505121487356,Intel Core i7,256,0,Intel,Windows
95,Acer,2 in 1 Convertible,8,1.5,45128.16,1,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
96,Dell,Notebook,8,2.2,31962.672,0,0,141.21199808219862,Intel Core i7,0,1024,AMD,Others/No Os/Linux
97,Dell,Notebook,4,2.2,25840.8,0,0,141.21199808219862,Intel Core i3,256,0,AMD,Others/No Os/Linux
98,Asus,Notebook,6,2.0,30742.56,0,0,141.21199808219862,Intel Core i3,256,0,Nvidia,Windows
99,HP,Gaming,12,2.62,66546.72,0,1,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
100,HP,Notebook,8,1.91,38308.32,0,0,141.21199808219862,Intel Core i7,256,0,AMD,Windows
101,HP,Notebook,4,2.1,18594.72,0,0,141.21199808219862,AMD Processor,0,500,AMD,Windows
102,Dell,Notebook,8,2.2,34472.16,0,0,141.21199808219862,Intel Core i5,0,1024,AMD,Others/No Os/Linux
103,HP,Ultrabook,8,1.38,59620.32,0,1,165.6321180513006,Intel Core i7,256,0,Nvidia,Windows
104,Microsoft,Ultrabook,8,1.252,71395.2,1,0,200.84255993695703,Intel Core i5,256,0,Intel,Windows
105,HP,Notebook,6,1.58,35111.52,0,1,157.3505121487356,Intel Core i5,256,0,Nvidia,Windows
106,Lenovo,Notebook,4,1.85,22105.872,0,0,141.21199808219862,Intel Core i3,0,1024,Intel,Windows
107,Asus,Ultrabook,8,1.3,63563.04,0,1,157.3505121487356,Intel Core i7,256,0,Nvidia,Windows
108,MSI,Gaming,16,2.2,69210.72,0,0,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
109,Lenovo,Notebook,8,1.58,78854.4,0,1,157.3505121487356,Intel Core i7,256,0,Intel,Windows
110,Asus,Ultrabook,16,1.5,67239.36,0,0,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
111,Dell,Ultrabook,8,1.23,73473.12,1,0,276.053530085501,Intel Core i7,256,0,Intel,Windows
112,Lenovo,2 in 1 Convertible,8,1.37,74538.72,1,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
113,HP,Notebook,4,1.63,38468.16,0,1,111.93520355955211,Intel Core i5,0,500,Intel,Windows
114,Dell,Ultrabook,8,1.21,86793.12,0,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
115,HP,2 in 1 Convertible,8,1.26,74538.1872,1,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
116,HP,Notebook,8,1.63,57755.52,0,0,157.3505121487356,Intel Core i7,512,0,Intel,Windows
117,Dell,Notebook,8,2.16,60223.98239999999,0,1,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
118,Asus,Notebook,4,2.0,30049.92,0,0,127.33567457123111,Intel Core i3,0,1024,Nvidia,Windows
119,Asus,Notebook,8,1.7,59567.04,0,0,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
120,Acer,Notebook,6,2.1,25521.12,1,1,141.21199808219862,Intel Core i3,0,1024,Intel,Windows
121,MSI,Gaming,16,1.8,119427.12,0,0,141.21199808219862,Intel Core i7,256,2048,Nvidia,Windows
122,Lenovo,Notebook,8,2.2,33513.119999999995,0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,Others/No Os/Linux
123,HP,Notebook,16,2.5,67718.88,0,0,127.33567457123111,Intel Core i7,512,0,Nvidia,Windows
124,Acer,Notebook,4,2.1,24029.28,0,0,100.45466986113651,AMD Processor,256,0,AMD,Windows
125,HP,Notebook,4,1.86,13799.52,0,0,100.45466986113651,Intel Celeron Dual,0,500,Intel,Others/No Os/Linux
126,HP,Notebook,8,1.63,43263.36,0,0,157.3505121487356,Intel Core i5,0,1024,Intel,Windows
127,Asus,Notebook,4,1.65,14811.3072,0,0,111.93520355955211,AMD Processor,64,0,AMD,Windows
128,Dell,Notebook,16,2.8,74378.87999999999,0,0,127.33567457123111,Intel Core i7,256,2048,AMD,Windows
129,HP,Notebook,8,2.5,49443.84,0,0,127.33567457123111,Intel Core i5,256,0,Intel,Windows
130,Dell,Notebook,8,2.36,34045.3872,0,0,100.45466986113651,Intel Core i5,0,1024,AMD,Windows
131,Dell,Notebook,4,2.2,23922.72,0,0,141.21199808219862,Intel Core i3,0,1024,AMD,Windows
132,Acer,Ultrabook,8,1.6,47099.52,0,1,157.3505121487356,Intel Core i7,256,0,Intel,Windows
133,Acer,Notebook,4,2.2,30476.16,0,0,141.21199808219862,Intel Core i3,256,0,Nvidia,Windows
134,HP,Notebook,8,2.05,31861.44,0,0,100.45466986113651,Intel Core i7,0,1024,Intel,Windows
135,HP,Notebook,8,1.63,52640.64,0,0,157.3505121487356,Intel Core i7,256,0,Intel,Windows
136,Lenovo,Notebook,4,1.9,13445.7408,0,0,100.45466986113651,Intel Celeron Dual,0,1024,Intel,Others/No Os/Linux
137,Asus,Gaming,8,3.0,49976.64,0,0,127.33567457123111,Intel Core i5,128,1024,Nvidia,Windows
138,Lenovo,Notebook,4,2.2,26586.72,0,0,141.21199808219862,Intel Core i5,0,1024,Nvidia,Others/No Os/Linux
139,HP,Notebook,4,1.32,37242.72,0,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
140,Acer,Notebook,4,3.0,34898.4,0,1,127.33567457123111,Intel Core i3,0,1024,Nvidia,Windows
141,Lenovo,Notebook,8,1.75,59461.5456,0,1,157.3505121487356,Intel Core i5,256,0,AMD,Windows
142,Lenovo,Gaming,8,2.4,46300.32,0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,Others/No Os/Linux
143,Toshiba,Notebook,4,2.1,32074.56,0,0,100.45466986113651,Intel Core i5,0,500,Intel,Windows
144,HP,Notebook,4,1.86,19660.32,0,0,100.45466986113651,AMD Processor,256,0,AMD,Windows
145,Asus,Ultrabook,8,1.25,58554.72,0,0,157.3505121487356,Intel Core i7,256,0,Intel,Windows
146,HP,Ultrabook,8,0.97,107305.92,1,1,352.4651472131677,Other Intel Processor,512,0,Intel,Windows
147,Asus,Notebook,4,2.0,18328.32,0,0,141.21199808219862,Intel Celeron Dual,0,1024,Intel,Windows
148,MSI,Gaming,16,2.9,108105.12,0,0,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
149,Acer,Notebook,4,2.1,23816.16,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
150,Dell,Gaming,16,2.56,66560.5728,0,0,141.21199808219862,Intel Core i7,512,0,Nvidia,Windows
151,Dell,Gaming,8,2.62,47898.72,0,0,141.21199808219862,Intel Core i7,0,0,Nvidia,Windows
152,Lenovo,Notebook,4,1.9,26533.44,0,0,100.45466986113651,Intel Core i5,128,0,Intel,Windows
153,MSI,Gaming,16,2.8,100699.2,0,0,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
154,HP,Ultrabook,4,1.48,57648.96,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
155,HP,Notebook,6,1.91,32980.32,0,0,141.21199808219862,Intel Core i5,256,0,AMD,Windows
156,Lenovo,2 in 1 Convertible,4,1.74,33513.119999999995,1,1,157.3505121487356,Intel Core i3,256,0,Intel,Windows
157,Asus,2 in 1 Convertible,8,1.1,70063.2,1,0,165.6321180513006,Intel Core i5,256,0,Intel,Windows
158,Dell,2 in 1 Convertible,8,1.56,55890.72,1,0,141.21199808219862,Intel Core i7,256,0,Intel,Windows
159,Toshiba,Notebook,4,2.1,23816.16,0,0,100.45466986113651,Intel Core i3,0,500,Intel,Windows
160,Asus,Notebook,4,2.03,21471.84,0,0,100.45466986113651,AMD Processor,0,1024,AMD,Windows
161,Acer,Notebook,4,3.0,42890.4,0,1,127.33567457123111,Intel Core i5,256,0,Nvidia,Windows
162,Dell,Notebook,8,2.13,38787.84,0,0,141.21199808219862,Intel Core i5,256,0,AMD,Windows
163,Lenovo,Gaming,16,2.5,57489.12,0,1,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
164,Acer,Notebook,4,2.1,18541.44,0,0,100.45466986113651,Intel Celeron Dual,0,1024,Intel,Windows
165,MSI,Gaming,16,2.4,95850.72,0,1,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
166,Acer,Notebook,4,2.1,19367.8128,0,0,100.45466986113651,Other Intel Processor,0,1024,Intel,Windows
167,Dell,Gaming,8,2.56,56502.9072,0,0,141.21199808219862,Intel Core i7,128,1024,Nvidia,Windows
168,Acer,Notebook,8,3.0,45501.12,0,1,127.33567457123111,Intel Core i5,256,0,Nvidia,Windows
169,HP,Notebook,4,1.49,40173.12,0,1,165.6321180513006,Intel Core i5,0,500,Intel,Windows
170,Huawei,Ultrabook,8,1.05,71874.72,0,1,199.69207064108247,Intel Core i5,256,0,Intel,Windows
171,HP,Notebook,6,2.71,37242.72,0,1,127.33567457123111,Intel Core i5,0,2048,AMD,Windows
172,Lenovo,Notebook,4,2.2,16463.52,0,0,100.45466986113651,AMD Processor,0,500,AMD,Others/No Os/Linux
173,Toshiba,Notebook,4,2.0,26053.92,0,0,100.45466986113651,Intel Core i3,0,500,Intel,Windows
174,HP,Notebook,8,2.5,49177.44,0,0,127.33567457123111,Intel Core i5,256,0,Nvidia,Windows
175,Dell,Notebook,8,2.3,24455.52,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
176,Acer,Notebook,4,2.1,23922.72,0,0,100.45466986113651,Intel Core i3,128,0,Intel,Windows
177,MSI,Gaming,32,4.4,149130.72,0,0,119.7232157653423,Intel Core i7,512,1024,Nvidia,Windows
178,Lenovo,Notebook,8,1.9,43316.64,0,0,141.21199808219862,Intel Core i5,128,1024,AMD,Windows
179,HP,2 in 1 Convertible,8,1.29,79866.72,1,1,331.2642361026012,Intel Core i5,256,0,Intel,Windows
180,Dell,Notebook,16,2.02,55890.72,0,0,141.21199808219862,Intel Core i7,256,2048,AMD,Others/No Os/Linux
181,Dell,Ultrabook,8,1.23,74538.72,0,0,165.6321180513006,Intel Core i5,256,0,Intel,Windows
182,Lenovo,2 in 1 Convertible,16,1.4,98514.72,1,1,316.96506044349616,Intel Core i7,512,0,Intel,Windows
183,Toshiba,Notebook,8,2.0,42251.04,0,0,100.45466986113651,Intel Core i5,128,0,Intel,Windows
184,Xiaomi,Notebook,8,1.95,63882.72,0,1,141.21199808219862,Intel Core i5,256,0,Nvidia,Others/No Os/Linux
185,Dell,Notebook,16,2.77,82530.72,1,0,127.33567457123111,Intel Core i7,512,0,Nvidia,Windows
186,Dell,Notebook,16,2.06,127712.16,1,0,282.42399616439724,Intel Core i7,512,0,Nvidia,Windows
187,Lenovo,Gaming,8,2.4,41505.12,0,1,141.21199808219862,Intel Core i5,256,0,Nvidia,Others/No Os/Linux
188,Acer,Ultrabook,8,1.12,52693.92,0,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
189,Dell,Notebook,8,2.8,57808.8,0,0,127.33567457123111,Intel Core i7,128,1024,AMD,Windows
190,Lenovo,2 in 1 Convertible,16,1.42,150462.72,1,0,209.8006828649808,Intel Core i7,1,0,Intel,Windows
191,Vero,Notebook,4,1.3,13852.8,0,1,157.3505121487356,Intel Celeron Dual,0,0,Intel,Windows
192,Xiaomi,Ultrabook,8,1.3,53274.67199999999,0,1,165.6321180513006,Intel Core i5,256,0,Nvidia,Others/No Os/Linux
193,Lenovo,Notebook,8,2.8,37189.44,0,0,106.11306214269258,Intel Core i5,256,0,Nvidia,Others/No Os/Linux
194,Dell,2 in 1 Convertible,8,1.62,44701.92,1,1,165.6321180513006,Intel Core i7,0,1024,Intel,Windows
195,HP,Notebook,8,2.5,48697.92,0,1,127.33567457123111,Intel Core i5,0,1024,Nvidia,Windows
196,Razer,Gaming,32,3.49,324954.72,1,0,254.67134914246222,Intel Core i7,1,0,Nvidia,Windows
197,HP,Notebook,8,1.49,51095.52,0,0,165.6321180513006,Intel Core i5,512,0,Intel,Windows
198,HP,Gaming,16,3.35,73473.12,0,1,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
199,HP,Notebook,8,2.5,55677.6,0,0,127.33567457123111,Intel Core i7,256,0,Nvidia,Windows
200,Dell,Gaming,16,2.65,98301.6,0,1,282.42399616439724,Intel Core i7,512,1024,Nvidia,Windows
201,Lenovo,Notebook,4,2.1,26267.04,0,0,100.45466986113651,Intel Core i5,128,0,Intel,Windows
202,Acer,Notebook,8,2.23,39533.76,0,0,141.21199808219862,Intel Core i7,0,1024,Nvidia,Windows
203,Lenovo,Gaming,16,3.2,93186.72,0,1,141.21199808219862,Intel Core i7,512,1024,Nvidia,Windows
204,Dell,Workstation,16,2.8,162770.4,0,0,282.42399616439724,Other Intel Processor,256,1024,Nvidia,Windows
205,Lenovo,Gaming,16,2.4,74485.44,0,0,141.21199808219862,Intel Core i7,512,0,Nvidia,Others/No Os/Linux
206,Dell,Notebook,6,2.3,23389.92,1,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
207,Dell,Ultrabook,8,1.21,103842.72,1,1,331.2642361026012,Intel Core i7,256,0,Intel,Windows
208,Dell,Ultrabook,8,1.2,77202.72,0,0,165.6321180513006,Intel Core i7,256,0,Intel,Windows
209,Lenovo,Notebook,8,2.2,31808.16,0,0,100.45466986113651,Intel Core i5,256,0,Intel,Windows
210,Acer,Notebook,8,2.4,41505.12,0,0,141.21199808219862,Intel Core i7,0,1024,Nvidia,Others/No Os/Linux
211,Asus,Gaming,16,2.9,74964.95999999999,0,0,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
212,HP,Notebook,4,2.1,18594.72,0,0,141.21199808219862,Intel Core i3,0,500,Intel,Others/No Os/Linux
213,Lenovo,Notebook,8,2.2,29250.72,0,0,141.21199808219862,Intel Core i5,256,0,Intel,Others/No Os/Linux
214,Huawei,Ultrabook,8,1.05,79866.72,0,1,199.69207064108247,Intel Core i7,512,0,Intel,Windows
215,Dell,Ultrabook,8,1.4,49650.5664,0,1,165.6321180513006,Intel Core i7,256,0,AMD,Windows
216,Lenovo,Notebook,8,2.8,31381.92,0,0,106.11306214269258,Intel Core i5,0,1024,Nvidia,Others/No Os/Linux
217,HP,Notebook,8,1.63,54931.68,0,0,157.3505121487356,Intel Core i7,256,0,Nvidia,Windows
218,Dell,Ultrabook,8,1.6,61218.72,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
219,Dell,2 in 1 Convertible,16,1.62,68145.12,1,0,165.6321180513006,Intel Core i7,512,0,Intel,Windows
220,Dell,Notebook,8,2.2,36089.208,0,0,141.21199808219862,Intel Core i5,256,0,AMD,Others/No Os/Linux
221,Lenovo,2 in 1 Convertible,8,1.74,47898.72,0,1,157.3505121487356,Intel Core i5,256,0,Intel,Windows
222,Toshiba,Ultrabook,8,1.2,72620.64,0,0,165.6321180513006,Intel Core i7,256,0,Intel,Windows
223,HP,Notebook,8,2.1,42304.32,0,0,141.21199808219862,Intel Core i5,0,1024,Intel,Windows
224,Dell,Gaming,16,4.42,130873.7952,0,1,127.33567457123111,Intel Core i7,256,1024,Nvidia,Windows
225,Acer,Notebook,8,2.2,44328.96,0,0,141.21199808219862,Intel Core i7,256,0,Nvidia,Windows
226,Dell,Notebook,16,2.3,45768.0528,1,0,141.21199808219862,Intel Core i7,0,1024,AMD,Windows
227,Asus,Notebook,8,2.0,40972.32,0,0,141.21199808219862,Intel Core i5,256,0,Nvidia,Windows
228,Asus,Notebook,8,2.69,47472.48,0,0,127.33567457123111,Intel Core i5,256,500,Nvidia,Windows
229,HP,Notebook,8,1.9,67612.31999999999,0,0,141.21199808219862,Intel Core i7,0,1024,AMD,Windows
230,Asus,Notebook,4,2.37,21258.1872,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Windows
231,HP,Notebook,4,2.1,17582.399999999998,0,0,100.45466986113651,AMD Processor,0,500,AMD,Windows
232,Lenovo,Gaming,16,3.2,79866.72,0,1,141.21199808219862,Intel Core i7,256,1024,Nvidia,Windows
233,Dell,Notebook,8,1.6,45767.52,0,0,157.3505121487356,Intel Core i5,256,0,Intel,Windows
234,Acer,2 in 1 Convertible,8,1.6,36709.92,1,1,165.6321180513006,Intel Core i5,256,0,Intel,Windows
235,Dell,Notebook,16,2.36,47898.72,0,0,141.21199808219862,Intel Core i7,256,0,AMD,Others/No Os/Linux
236,Acer,Notebook,4,2.1,20779.2,0,0,100.45466986113651,Intel Core i3,0,1024,Intel,Others/No Os/Linux
237,Asus,Notebook,4,2.2,30636.0,0,0,141.21199808219862,AMD Processor,128,1024,AMD,Windows
238,Asus,Gaming,32,4.7,207259.2,0,0,127.33567457123111,Intel Core i7,512,1024,Nvidia,Windows
239,Acer,Gaming,8,2.5,45074.88,0,1,141.21199808219862,Intel Core i5,256,0,Nvidia,Windows
240,Lenovo,Notebook,8,2.2,31381.92,0,0,100.45466986113651,Intel Core i3,128,0,Intel,Windows
241,Asus,Notebook,8,2.1,61005.6,0,0,127.33567457123111,Intel Core i7,128,1024,Nvidia,Windows
